FSC_A,FSC_W,SSC_A,CD33,CD45RA,CD34,CD90,CD49f,CD38,Lineage,CD7_CD10,Live,CD45,Time,Sort_id,Cell_seeded
139958,90599,67367,86,34,1773,1439,573,480,154,-26,351,1001,19529,4_C1,HSC
136286,97216,84801,271,205,2625,13864,203,534,185,-30,526,2111,20403,4_C2,HSC
144296,95156,143289,178,47,5636,1744,775,731,260,77,500,1236,20625,4_C3,HSC
71598,85406,73817,217,85,1453,876,195,287,346,92,329,1224,21388,4_C4,HSC
166049,90876,79887,64,173,3326,1970,1291,760,92,82,341,2356,22679,4_C5,HSC
138841,87864,86443,30,45,5031,1705,1123,635,177,30,655,1616,22953,4_C6,HSC
133489,95962,86505,99,191,3773,6238,1161,370,238,46,604,2721,23180,4_C7,HSC
115613,86553,84853,336,282,4215,3643,1598,177,214,74,290,2075,23560,4_C8,HSC
145161,92669,103607,-12,123,4078,6502,2245,652,166,115,375,1557,24127,4_C9,HSC
133294,89577,151514,46,50,2815,155,870,702,89,-27,356,1335,24725,4_C10,HSC
139308,88922,89508,143,-16,2879,1012,467,567,133,62,320,1171,24968,4_C11,HSC
125970,90074,81693,-24,157,3571,1582,1469,562,191,205,355,842,25446,4_C12,HSC
134011,93811,106870,70,40,3971,1341,1572,832,134,30,369,1824,38437,4_D1,HSC
154149,92906,111218,380,122,6520,2165,1760,404,191,53,540,2148,37740,4_D2,HSC
168268,94787,114418,113,245,4487,175,960,752,260,569,442,847,36923,4_D3,HSC
180812,104742,123782,299,308,3242,138,1200,286,169,1959,452,218,34656,4_D4,HSC
105126,92620,137471,-44,32,2375,538,1404,813,96,203,432,565,31872,4_D5,HSC
123133,84958,62917,241,105,4212,1047,1559,511,180,122,369,1578,30861,4_D6,HSC
160034,91793,113032,232,239,4475,266,741,626,223,125,376,790,30124,4_D7,HSC
165667,94841,117476,245,1,3763,2464,942,664,252,93,574,1136,29842,4_D8,HSC
134479,91544,95100,114,89,4033,933,1017,768,123,153,320,1445,29060,4_D9,HSC
151710,88276,75554,154,289,2660,689,1573,390,279,95,426,1607,28474,4_D10,HSC
141642,98137,98402,140,70,4224,6363,1176,115,156,-61,471,2035,28086,4_D11,HSC
140863,90712,94635,153,64,3363,565,733,98,-10,55,355,1044,26146,4_D12,HSC
144275,88407,80096,-28,249,3122,1698,1558,214,302,-10,516,1925,39170,4_E1,HSC
135151,90870,87767,140,41,4346,472,1267,520,121,112,410,1808,39778,4_E2,HSC
165902,105638,86040,270,104,6216,8631,909,655,240,61,453,1931,40033,4_E3,HSC
113972,87332,112529,331,158,6914,4436,2999,701,250,37,403,1623,40571,4_E4,HSC
108805,87691,94404,-49,67,3807,431,1490,781,83,110,333,1872,42596,4_E5,HSC
158584,102012,111402,137,68,2958,1591,993,330,53,172,308,1687,43424,4_E6,HSC
152752,91235,122831,179,215,4265,385,1020,679,164,89,418,506,43988,4_E7,HSC
130850,88358,99011,204,41,4795,1192,678,387,173,71,365,775,44471,4_E8,HSC
160125,90237,101678,61,-33,3535,1037,1366,297,106,41,282,1167,46691,4_E9,HSC
120729,85843,119043,255,155,6975,407,531,909,257,93,465,1795,47973,4_E10,HSC
147994,99903,93888,117,116,2620,6506,536,483,278,30,600,2000,48163,4_E11,HSC
134692,91926,80596,47,228,3005,1174,641,516,135,136,418,1707,49488,4_E12,HSC
115056,89420,133890,-20,22,5968,1963,1462,685,112,71,382,1558,63766,4_F1,HSC
78329,82045,85143,124,178,3649,1958,1061,438,187,-87,476,1767,62859,4_F2,HSC
115880,85258,64432,23,143,3697,1599,666,556,168,92,320,770,61799,4_F3,HSC
147876,89468,68167,92,54,4096,1184,1745,195,199,125,420,1610,61595,4_F4,HSC
173574,95199,129557,142,73,5308,7827,1183,484,346,147,509,2046,60159,4_F5,HSC
167269,94136,117257,217,190,6637,1085,465,493,223,168,550,1953,58423,4_F6,HSC
112859,87539,111812,253,190,3998,1250,1922,671,307,61,406,1521,58229,4_F7,HSC
157747,94535,79912,51,96,3877,1404,688,586,131,267,384,776,55113,4_F8,HSC
135767,93118,97412,212,131,4637,6384,1623,502,207,-19,573,2065,54724,4_F9,HSC
75407,82842,95783,134,159,2666,5785,362,645,320,0,357,1457,54265,4_F10,HSC
177524,95386,129376,314,312,5541,498,621,664,217,314,377,547,53752,4_F11,HSC
179391,106686,111921,277,69,3644,357,1461,141,232,88,399,1740,52969,4_F12,HSC
141823,97078,116670,153,105,5164,729,3098,299,231,-18,428,2244,64333,4_G1,HSC
133527,89450,81590,221,43,2326,5350,837,398,244,236,600,838,65401,4_G2,HSC
152373,91378,90094,138,-13,2677,833,179,325,5,47,257,884,65791,4_G3,HSC
132241,90027,107918,247,60,7165,1409,3352,84,231,126,426,2517,67240,4_G4,HSC
103327,90028,102755,48,73,4340,1512,610,464,93,101,393,1051,67729,4_G5,HSC
120050,87496,69737,93,23,2270,1413,226,329,213,26,331,963,73309,4_G6,HSC
128180,90908,67205,204,18,3145,3932,598,177,160,93,496,2427,75066,4_G7,HSC
158143,88487,100017,201,151,6279,646,907,744,139,198,410,1252,75798,4_G8,HSC
147471,95202,85122,118,97,2059,204,754,675,153,169,249,840,76869,4_G9,HSC
80581,81613,96475,-52,91,2254,5792,499,635,251,-3,306,1181,77609,4_G10,HSC
113573,86345,101283,119,34,4436,951,1948,174,148,93,363,2036,77871,4_G11,HSC
116617,87943,103327,24,93,7547,12157,3751,238,177,6,448,2316,78102,4_G12,HSC
121691,90148,102367,131,67,3412,3672,1648,107,118,43,582,1483,88035,4_H1,HSC
162364,91734,93125,102,39,5200,5920,3126,380,163,76,458,2114,87445,4_H2,HSC
151332,92168,121727,350,127,5569,844,401,901,231,102,430,1017,86761,4_H3,HSC
158461,97813,90823,193,87,4419,3446,2280,257,323,109,433,2061,86550,4_H4,HSC
99713,86562,87064,304,166,5301,873,859,511,167,81,377,531,86079,4_H5,HSC
152415,94465,92297,136,11,5496,1581,1137,261,229,42,311,2229,85082,4_H6,HSC
107867,91227,106873,187,226,5772,1155,1547,602,176,50,306,581,84766,4_H7,HSC
148526,95432,70053,247,140,5254,416,1634,423,51,251,446,1152,83275,4_H8,HSC
113363,82473,54241,72,260,4162,207,761,236,29,1479,291,505,82315,4_H9,HSC
156950,94282,80987,71,-11,2043,3559,2206,333,110,69,228,702,82030,4_H10,HSC
79127,78842,128563,128,204,2516,609,859,827,196,46,462,837,81575,4_H11,HSC
129737,89903,93775,4,177,2819,128,833,537,192,92,360,695,79576,4_H12,HSC
124587,84043,80583,21,-48,5347,2198,2040,469,231,28,380,2016,1687,5_A1,HSC
125001,91441,74721,179,45,2663,1310,508,746,38,13,547,1634,3034,5_A2,HSC
95362,91848,139139,304,191,5481,7102,1882,744,165,-12,454,2061,3664,5_A3,HSC
68885,83170,110042,-58,112,2680,3073,1230,732,225,55,501,2047,3850,5_A4,HSC
145367,92550,71053,136,-12,2725,546,1264,716,193,14,316,1285,4812,5_A5,HSC
123113,88202,92089,35,100,4643,1023,1218,200,125,138,408,1306,5351,5_A6,HSC
148014,90865,126692,-6,174,4279,1015,475,531,208,53,240,1087,5566,5_A7,HSC
148958,93058,101717,120,114,5026,1999,780,514,299,67,561,1155,5831,5_A8,HSC
149536,96892,109207,153,60,3622,404,1417,737,118,134,313,1623,6056,5_A9,HSC
143453,88981,61483,115,76,5388,1510,3342,245,126,-8,449,2659,6241,5_A10,HSC
144603,91138,99842,-238,64,5380,1497,2504,702,183,114,369,2736,6769,5_A11,HSC
107667,83622,98951,65,50,2171,192,641,673,162,88,259,1542,7381,5_A12,HSC
85867,87406,122283,98,-20,4431,3163,1182,890,132,41,401,2089,17763,5_B1,HSC
96462,84294,87106,9,120,4059,245,1153,293,220,289,383,960,17174,5_B2,HSC
125740,88379,115991,159,146,4533,1974,541,630,239,575,441,1395,16848,5_B3,HSC
106650,87132,78902,131,9,2838,1025,500,591,150,86,645,1832,16403,5_B4,HSC
114777,88429,70575,230,155,4205,329,577,435,103,561,359,1174,15985,5_B5,HSC
136948,95071,99687,348,125,6206,653,1181,804,164,162,496,1557,13577,5_B6,HSC
125050,95016,167269,178,179,7418,1417,466,847,248,28,464,937,11159,5_B7,HSC
139953,92959,67727,39,58,2942,4670,660,371,161,-107,458,1407,10589,5_B8,HSC
160325,99619,65955,257,170,5933,5795,4800,416,166,53,355,1863,10365,5_B9,HSC
129244,86587,87254,115,98,3236,1584,1907,109,234,73,362,1106,9297,5_B10,HSC
138111,91081,129392,182,81,4252,1218,1587,258,188,71,521,2081,8091,5_B11,HSC
158904,93229,126116,192,43,2139,820,601,667,109,26,373,614,7669,5_B12,HSC
149580,91892,65076,79,83,4131,835,2184,170,137,93,346,1766,18515,5_C1,HSC
153071,91591,78711,188,61,3604,1518,2516,599,138,50,332,1586,18906,5_C2,HSC
78401,81018,101773,57,226,4804,2071,1132,323,302,-3,524,1847,19869,5_C3,HSC
143470,88920,62895,163,85,3424,1427,1026,751,125,400,332,1559,20070,5_C4,HSC
175203,98806,108749,83,305,5909,943,1809,607,165,466,477,1213,20451,5_C5,HSC
131106,84608,78874,-98,116,5813,4763,2229,167,138,107,451,1556,21470,5_C6,HSC
125432,86744,76197,122,62,2709,1843,795,688,143,11,334,1255,22612,5_C7,HSC
111170,86838,87944,-21,76,3140,2732,1229,323,192,150,422,819,23174,5_C8,HSC
173883,99643,96823,110,49,3002,627,2498,241,120,113,536,1421,24421,5_C9,HSC
111147,84919,75322,22,-21,2029,5224,466,468,102,57,456,1595,24634,5_C10,HSC
121557,96459,103612,330,-54,3446,5950,779,417,74,44,499,1841,25206,5_C11,HSC
124772,93348,93922,144,134,4658,3680,813,710,273,87,372,2125,25572,5_C12,HSC
166461,92712,109611,228,171,7715,586,1430,129,170,149,536,1884,35453,5_D1,HSC
138711,88641,58451,82,136,2357,300,1352,64,164,78,312,1723,34959,5_D2,HSC
165006,102108,121023,89,51,2917,5304,765,640,146,163,425,1644,34741,5_D3,HSC
145312,90198,126672,10,55,2639,1412,2134,208,163,40,403,1600,34489,5_D4,HSC
160842,95170,96528,228,204,5956,343,432,609,198,1,319,594,34127,5_D5,HSC
160952,93910,119550,80,312,4609,219,1221,758,263,191,456,1278,32312,5_D6,HSC
132649,92231,82987,261,140,7205,2231,2478,728,271,63,439,2956,31655,5_D7,HSC
140996,91244,100110,274,91,4477,1521,641,475,174,96,390,1388,31430,5_D8,HSC
76465,83542,90636,6,62,3968,1664,936,371,167,-60,343,1077,30947,5_D9,HSC
140589,89115,98521,134,141,4303,1135,2591,37,141,-12,459,1045,29374,5_D10,HSC
131634,98713,116760,106,105,5546,1995,1095,136,203,2,492,2255,27051,5_D11,HSC
148980,88390,82834,144,130,3502,661,1402,220,161,165,428,2117,25865,5_D12,HSC
122562,87118,100534,11,75,2569,935,1285,585,174,94,274,1332,36263,5_E1,HSC
196138,108156,96321,118,83,3362,4203,1837,298,216,87,428,1933,39361,5_E2,HSC
167223,96969,114968,74,-23,3736,1484,1028,231,46,48,407,1397,40129,5_E3,HSC
80610,80425,103106,64,156,5192,5873,2205,405,346,100,407,2270,42686,5_E4,HSC
133323,91678,100990,59,238,3680,237,1253,811,74,857,421,831,44311,5_E5,HSC
163017,90986,82837,141,82,2670,2262,1403,300,146,232,550,2212,45078,5_E6,HSC
166127,94492,85277,340,150,4376,1568,1100,428,70,85,328,2044,45262,5_E7,HSC
141552,88350,79222,190,108,5799,3549,2022,365,266,87,450,2272,47102,5_E8,HSC
71801,80646,107054,13,167,2863,1758,896,725,285,65,431,1386,48333,5_E9,HSC
162971,98779,114975,163,38,3576,1791,1291,480,67,52,434,1541,48898,5_E10,HSC
133922,83443,79943,331,302,4074,3250,2301,340,185,135,348,2094,49438,5_E11,HSC
121843,86876,119204,209,142,3404,3511,644,575,99,126,323,1835,49786,5_E12,HSC
104369,84565,67930,-7,66,4753,426,953,814,263,200,368,992,59396,5_F1,HSC
149214,89598,99668,123,159,4041,345,1107,458,215,42,357,1791,59165,5_F2,HSC
133584,93138,102694,248,149,4366,10214,815,274,149,15,638,2154,57311,5_F3,HSC
130116,90595,80277,29,93,2550,2142,541,868,175,53,493,1393,56404,5_F4,HSC
126594,93605,95118,19,77,5670,3193,1597,122,154,-12,602,2450,56017,5_F5,HSC
147361,89404,127662,40,62,5434,2720,705,364,140,63,372,1234,55675,5_F6,HSC
148118,93582,124289,267,18,2555,1222,1603,99,108,131,405,337,54936,5_F7,HSC
146853,89277,94357,176,20,3716,2737,731,569,238,19,345,1672,53278,5_F8,HSC
166942,97122,101683,213,105,4605,1405,1742,270,115,32,417,2911,52798,5_F9,HSC
135880,91274,92967,93,60,4220,3022,1311,333,146,139,274,2327,51946,5_F10,HSC
142776,88538,82444,39,103,2905,782,1626,754,134,79,317,1330,51009,5_F11,HSC
144836,90105,94058,252,92,4223,1337,571,758,147,60,352,2095,50457,5_F12,HSC
150803,91921,105556,146,175,4208,2250,1423,635,249,88,455,2037,60061,5_G1,HSC
142725,86193,59474,21,11,4982,1301,1676,367,164,71,339,1528,61233,5_G2,HSC
125222,93641,138183,257,133,3490,3120,1654,623,211,21,433,1147,64373,5_G3,HSC
131212,90677,79062,130,144,4834,3439,1025,543,95,64,263,1480,65620,5_G4,HSC
154381,90768,78705,96,149,3864,828,1218,221,148,59,316,2036,66000,5_G5,HSC
92469,85065,98070,163,68,3636,917,1153,683,149,116,294,925,66373,5_G6,HSC
144646,91511,96021,98,30,3832,3221,1249,789,223,-1,346,1068,66803,5_G7,HSC
108415,86281,91244,93,172,4977,389,890,785,183,20,354,1047,67103,5_G8,HSC
113524,88575,105247,207,151,5065,1947,1057,530,146,102,339,1038,67351,5_G9,HSC
156048,99555,91091,175,56,2316,849,234,755,249,11,340,1030,68496,5_G10,HSC
147962,88597,117357,371,328,6792,2408,2315,190,347,35,654,1992,69554,5_G12,HSC
137905,89479,99682,159,54,3660,120,613,790,202,59,318,1198,76438,5_H1,HSC
84217,85976,91909,100,92,2375,6232,1192,637,210,15,377,1022,75921,5_H2,HSC
133310,88248,99459,286,117,6199,7734,507,560,255,43,384,1515,75497,5_H3,HSC
122160,90276,124619,52,130,5808,2181,1413,651,48,16,359,1538,75013,5_H4,HSC
149719,91409,101888,80,124,4053,2120,1219,476,150,136,380,1473,74399,5_H5,HSC
152335,95252,73976,18,277,2534,598,1481,697,203,28,298,1085,73535,5_H6,HSC
148913,89540,90866,252,-2,6384,3345,785,103,155,-43,336,2323,73132,5_H7,HSC
128353,86919,93954,121,68,2532,152,745,864,235,24,299,832,72782,5_H8,HSC
112287,90547,101449,26,61,2432,307,792,820,63,215,318,986,72283,5_H9,HSC
98628,94119,68830,278,272,2880,184,1923,643,145,87,372,587,71776,5_H10,HSC
140917,85865,93507,111,209,4233,409,678,601,198,141,358,916,71018,5_H11,HSC
112082,94248,91812,310,45,3223,4805,366,372,87,-24,469,1706,69784,5_H12,HSC
136272,95285,91756,94,127,3968,838,962,869,87,1047,554,1380,1852,6_A1,HSC
122852,93806,119156,411,82,3204,570,2418,155,253,-17,486,793,2147,6_A2,HSC
76262,86688,111327,13,32,4172,7108,2890,313,234,5,414,1845,2360,6_A3,HSC
150124,90245,69709,31,38,4217,1779,1160,514,181,15,447,1349,5263,6_A4,HSC
114985,90668,111623,6,121,5246,155,1466,788,112,136,369,1376,5751,6_A5,HSC
122910,94121,76756,142,116,3163,1683,1626,918,180,0,539,2085,6613,6_A6,HSC
122031,91652,81837,180,153,2604,15225,804,802,206,6,648,1637,8836,6_A7,HSC
139366,89334,97061,185,85,3217,2105,415,501,201,47,539,1651,9199,6_A8,HSC
119297,94160,135486,56,204,6609,342,1603,798,210,14,344,1984,11471,6_A9,HSC
123835,93245,96350,111,-18,4358,450,1611,185,154,28,445,1951,11884,6_A10,HSC
117695,92240,101503,178,31,3454,4070,492,857,175,158,370,2143,14752,6_A11,HSC
135310,100197,91615,231,24,2640,10917,465,845,270,50,571,1886,15222,6_A12,HSC
147994,90545,130886,212,35,3276,984,989,181,202,60,499,1831,26331,6_B1,HSC
137973,89761,86388,199,27,3857,186,303,777,135,286,291,1310,25834,6_B2,HSC
151009,90224,65906,11,122,3712,654,1571,251,140,189,396,1892,24939,6_B3,HSC
86536,85407,99110,58,43,2505,3282,737,850,183,88,451,2101,24583,6_B4,HSC
90627,82729,107598,51,58,2608,1288,461,861,182,-28,344,1715,24381,6_B5,HSC
180071,100418,134980,125,167,5330,320,1250,413,145,138,487,1394,23696,6_B6,HSC
86326,89453,99559,167,138,3476,1421,1407,287,314,-27,512,1573,21373,6_B7,HSC
149388,96277,71360,301,181,4264,1046,463,875,212,-54,375,1043,19303,6_B8,HSC
126270,88061,88177,322,94,5324,286,441,499,140,198,358,1155,17682,6_B9,HSC
166904,101591,90455,57,35,3255,2468,1022,754,199,6,424,1832,17480,6_B10,HSC
102555,87455,114741,328,145,4938,2131,613,425,161,578,317,1551,17029,6_B11,HSC
145303,93267,92756,204,83,5387,3918,1256,651,109,25,361,1737,16243,6_B12,HSC
124563,90352,86271,-73,3,3956,1888,2005,683,132,138,413,1795,26760,6_C1,HSC
103257,90159,144074,176,151,8056,1586,1691,662,66,12,378,1635,27034,6_C2,HSC
162738,93682,130669,201,108,5479,365,1130,444,253,120,686,1346,28518,6_C3,HSC
132033,87897,112134,-24,157,3027,467,1384,667,251,69,340,1849,30979,6_C4,HSC
157373,92867,99279,271,152,4964,1744,1527,383,238,101,361,1835,32428,6_C5,HSC
121917,87460,91342,138,16,2217,1167,1159,472,-54,-11,179,878,32839,6_C6,HSC
98944,86953,88645,191,70,2811,796,241,573,159,212,231,560,33025,6_C7,HSC
125068,89607,143960,318,150,6414,3727,2628,564,304,-6,440,3073,34212,6_C8,HSC
147230,90838,99877,98,101,4654,2436,1001,109,167,37,433,1475,35757,6_C9,HSC
132099,90002,87278,61,46,3195,1734,807,418,149,25,320,1334,37350,6_C10,HSC
174619,101501,100765,151,64,4662,856,1221,250,206,156,537,1658,37703,6_C11,HSC
130571,94311,122224,92,132,4831,1749,2148,228,169,151,540,2038,38338,6_C12,HSC
155455,92834,90763,43,90,4246,509,1451,308,134,177,321,1592,48885,6_D1,HSC
133149,86643,82555,70,155,3722,4298,1390,615,229,-12,317,1377,47519,6_D2,HSC
125520,97784,109818,-18,62,2792,7122,1373,116,181,50,646,3042,47182,6_D3,HSC
154229,89137,86426,230,92,4112,250,560,696,53,307,263,1312,46697,6_D4,HSC
114136,92876,112443,116,277,3158,339,1094,354,180,50,686,2450,45727,6_D5,HSC
124596,85745,108525,430,176,4845,8852,1793,312,194,63,420,1478,45179,6_D6,HSC
153895,90434,95795,281,59,4499,259,817,92,126,206,667,2305,43947,6_D7,HSC
159467,92950,93190,210,101,3431,1395,823,588,166,79,551,1830,43580,6_D8,HSC
136320,96945,117240,160,52,4241,2485,1186,85,143,-14,635,2065,42620,6_D9,HSC
136131,100102,117255,354,-12,4919,2761,1145,852,164,60,554,2353,41616,6_D10,HSC
118231,88679,128331,243,57,6462,1760,2023,229,92,6,397,2330,39633,6_D11,HSC
163241,93396,81559,61,191,2198,310,389,676,109,138,319,1485,39410,6_D12,HSC
117886,86537,70381,26,69,1467,846,1662,193,81,59,385,1386,49286,6_E1,HSC
173566,95850,115630,114,151,4966,519,937,354,93,15,336,694,50609,6_E2,HSC
209371,113395,141669,87,58,4275,975,1372,811,278,91,539,1365,52041,6_E3,HSC
151371,91739,90216,162,170,4538,7430,1562,859,278,130,432,2468,52419,6_E4,HSC
118095,92357,87437,182,110,4088,4290,766,254,137,32,545,1736,53198,6_E5,HSC
146800,90054,70848,-15,20,1937,125,540,454,124,59,232,844,54369,6_E6,HSC
142527,91898,77839,152,90,5588,4790,817,487,309,49,440,2017,54958,6_E7,HSC
172380,100217,120848,37,67,2864,371,1121,738,85,72,351,1379,56088,6_E8,HSC
83268,84365,80312,-54,50,2354,4453,1349,450,202,-5,380,1812,57346,6_E9,HSC
124870,86660,116064,407,166,6848,648,382,465,119,64,332,736,58427,6_E10,HSC
195258,100452,109870,81,92,4041,2753,1585,882,223,33,454,1818,59564,6_E11,HSC
135902,91721,108161,284,107,5397,909,960,612,124,33,330,1804,60063,6_E12,HSC
119218,89210,83118,170,177,5172,5753,938,493,205,-61,587,2204,73138,6_F1,HSC
111579,87843,91875,250,128,4369,1226,538,597,217,228,503,1513,71776,6_F2,HSC
81173,84265,124006,172,275,5369,827,988,373,154,44,357,595,67208,6_F3,HSC
132467,90668,80206,174,8,3053,8738,749,771,90,289,529,2312,66628,6_F4,HSC
96516,88071,111238,-71,110,6007,7223,2628,891,203,48,320,2324,66039,6_F5,HSC
132199,89247,90895,108,167,4261,3599,1332,753,167,87,331,1205,65253,6_F6,HSC
93098,91583,122130,87,91,4430,598,585,819,199,144,437,1358,64674,6_F7,HSC
150428,93175,91058,162,165,4664,668,927,722,76,9,320,1319,63282,6_F8,HSC
157132,95511,112851,238,68,3881,3851,1123,677,262,153,402,2603,62166,6_F9,HSC
148340,90920,75908,51,80,2305,181,568,476,96,334,178,1159,61912,6_F10,HSC
148265,92210,123818,83,41,3547,288,718,862,150,-15,307,739,60850,6_F11,HSC
142076,88363,99292,76,102,3024,332,717,867,124,45,313,1473,60652,6_F12,HSC
160559,92142,130314,278,97,4595,2656,505,586,253,36,491,1621,74684,6_G1,HSC
126901,82056,60379,130,26,3289,272,1230,154,170,31,442,1489,76286,6_G2,HSC
142623,86078,68522,-40,94,4417,1235,901,243,185,168,318,934,79284,6_G3,HSC
110714,90082,127192,175,24,3900,1225,1058,713,128,102,350,2161,80410,6_G4,HSC
177490,97613,144338,341,214,2631,370,536,223,195,105,341,392,80865,6_G5,HSC
143042,90000,99625,30,94,5771,795,3248,624,237,73,400,1330,83600,6_G6,HSC
159045,90896,99303,262,123,3514,2513,970,798,60,24,313,1645,84006,6_G7,HSC
131176,89883,74607,133,69,2723,1966,458,662,99,44,525,1695,84304,6_G8,HSC
146552,91331,74066,-91,126,2879,391,1664,743,135,111,341,1471,84575,6_G9,HSC
145096,92418,61919,50,56,3024,529,732,750,238,2,353,932,84846,6_G10,HSC
146291,90355,95142,189,77,5029,5404,1410,345,242,163,524,1762,85911,6_G11,HSC
117209,87742,105613,259,93,7199,510,1176,982,160,13,392,976,86992,6_G12,HSC
122850,88641,119904,-12,18,6043,3096,2513,841,263,72,463,2523,97201,6_H1,HSC
133872,86660,85420,176,22,4866,5103,1175,375,144,-25,326,1265,96322,6_H2,HSC
149464,90246,85572,160,115,5374,11203,4513,170,101,-26,402,2126,95990,6_H3,HSC
137238,86921,87940,172,27,3702,985,618,70,165,37,248,1039,93804,6_H4,HSC
121100,95156,82692,111,123,4296,8018,630,231,226,-55,483,1742,93457,6_H5,HSC
153440,91563,92086,-89,181,6383,4394,2198,190,265,32,506,1702,92765,6_H6,HSC
165246,98712,104393,294,43,2511,507,798,768,93,91,371,1487,90123,6_H7,HSC
143232,95581,96721,219,65,3638,2581,1870,612,127,138,526,1432,89678,6_H8,HSC
119313,91323,112194,132,94,4022,297,1005,664,103,214,362,1417,89175,6_H9,HSC
155132,89556,86414,143,170,4493,1371,1710,554,103,170,332,1147,88912,6_H10,HSC
131940,92052,71473,108,95,2345,428,318,634,182,53,536,778,88566,6_H11,HSC
135164,90197,112324,136,-26,5386,618,825,600,90,148,371,852,87774,6_H12,HSC
155622,90577,104733,55,33,3669,3959,2065,40,173,54,519,1894,3522,7_A1,HSC
137092,91115,73718,30,122,3826,238,324,394,104,29,266,1151,3784,7_A2,HSC
135847,92559,84471,-49,63,2734,2124,1134,702,109,74,421,2171,4073,7_A3,HSC
131611,84408,61891,11,80,3889,878,1352,561,144,27,286,1491,4334,7_A4,HSC
116021,88714,78302,5,178,2994,7197,1147,256,241,53,447,1687,4824,7_A5,HSC
163356,97314,93164,216,263,4654,2362,1005,701,84,52,323,1236,6235,7_A6,HSC
162869,94838,93578,115,246,2642,1235,815,403,199,51,418,2054,6419,7_A7,HSC
178235,98725,66841,257,138,3596,2528,891,498,166,107,382,2598,7352,7_A8,HSC
138937,90166,66095,-119,44,3567,2258,1156,590,119,74,278,1322,7891,7_A9,HSC
148204,90148,57783,19,132,2716,413,898,854,126,41,263,1382,8381,7_A10,HSC
135679,89628,81216,89,74,3775,1082,1594,229,126,46,320,1674,9314,7_A11,HSC
84786,87824,81588,202,41,3899,683,1229,456,124,121,401,1294,9964,7_A12,HSC
131766,97081,73873,198,138,3582,2590,337,352,263,-7,382,973,20906,7_B1,HSC
80513,86951,76700,25,258,5553,312,797,633,180,-14,428,866,19998,7_B2,HSC
71404,84885,118833,213,91,3139,2593,839,696,219,-1,345,730,19213,7_B3,HSC
157681,98982,100827,200,129,5695,479,1426,847,156,42,392,1247,17358,7_B4,HSC
115093,95984,123914,91,255,2994,1634,682,645,307,275,549,1622,15504,7_B5,HSC
84354,88188,101332,234,83,5342,906,896,813,152,294,406,1016,14720,7_B6,HSC
97416,88632,77174,280,268,3565,810,938,743,169,131,395,1270,14319,7_B7,HSC
158291,90834,108625,275,68,5672,1637,1574,963,303,179,454,1584,13809,7_B8,HSC
153512,96621,71745,110,233,4664,2918,2692,293,225,114,300,1325,12604,7_B9,HSC
99725,89211,133237,75,63,3685,1557,1730,332,44,40,411,2069,11374,7_B10,HSC
150009,91950,73436,-76,195,3007,1489,2734,111,181,43,325,1376,10896,7_B11,HSC
115096,87037,138103,73,107,5195,1678,1707,612,95,72,485,1357,10426,7_B12,HSC
83927,89545,115183,215,107,2794,321,737,705,86,117,275,1030,21111,7_C1,HSC
150738,91820,84229,247,95,2821,1152,993,500,109,206,243,1035,21542,7_C2,HSC
202819,110192,138080,175,179,5314,644,2470,873,152,119,463,1345,22380,7_C3,HSC
144000,93270,65277,144,8,3735,1421,926,765,127,11,283,1110,22851,7_C4,HSC
126640,89798,90683,35,118,5557,251,1185,178,171,-6,524,1965,23953,7_C5,HSC
88866,84010,96708,197,35,2646,4260,863,688,176,-45,443,1855,27058,7_C6,HSC
142947,94049,61913,-104,36,3490,2016,2002,95,146,77,344,1406,28259,7_C7,HSC
96023,88076,111699,47,97,2993,818,1174,747,156,91,281,857,28511,7_C8,HSC
123535,91663,105261,117,44,4279,5364,1212,176,192,52,538,2029,29150,7_C9,HSC
129686,93465,83187,101,95,3127,2600,906,184,157,25,376,1502,29387,7_C10,HSC
159117,96680,106035,176,34,5373,5863,1021,453,200,44,429,1847,29680,7_C11,HSC
126493,94659,98422,188,47,3942,1684,875,158,111,98,559,1673,30647,7_C12,HSC
159327,95712,75353,74,87,2551,320,583,452,154,94,344,1642,35135,7_D1,HSC
126672,89554,93856,233,131,5250,2287,680,677,218,154,431,1816,34890,7_D2,HSC
138802,87650,95436,116,105,4403,2845,997,537,205,-4,406,1985,34698,7_D3,HSC
141446,88293,68783,301,146,4118,5352,1145,300,227,21,367,2085,34504,7_D4,HSC
149418,95625,138770,179,68,5409,7126,723,676,215,88,515,1498,34119,7_D5,HSC
137551,93107,119530,153,225,6047,1099,1486,462,181,84,394,1200,33905,7_D6,HSC
104224,85252,132534,128,134,4193,192,763,662,149,23,290,1695,33314,7_D7,HSC
128328,95988,94005,278,163,4028,639,1250,666,241,28,397,1482,32947,7_D8,HSC
134973,95296,125374,241,143,5752,1837,808,809,138,722,440,840,32310,7_D9,HSC
128385,94571,79217,59,137,2853,3055,334,601,202,158,540,1725,31854,7_D10,HSC
154969,92119,107854,99,146,3285,3618,777,692,214,9,406,1516,31616,7_D11,HSC
165639,94475,96856,174,99,4653,3571,2142,511,166,15,355,1968,30861,7_D12,HSC
137678,89663,87260,263,53,4197,6860,701,229,145,168,568,2468,35478,7_E1,HSC
121551,88345,116463,73,13,4812,1672,1105,497,115,36,412,1734,35827,7_E2,HSC
177558,104196,114977,174,135,6157,370,980,522,123,521,569,1097,36088,7_E3,HSC
