Plate_well,exp,fcs.name,SingleCells.count,NonEry.count,CD56neg.count,CD14neg.count,IntermediateNeut.count,IntermediateNeut.freq.of.CD14neg,MatureNeut.count,MatureNeut.freq.of.CD14neg,MatureNeut.FSC.A,MatureNeut.SSC.A,EarlyNeut.count,EarlyNeut.freq.of.CD14neg,Mono.count,Mono.freq.of.NonEry,Mono.freq.of.CD56neg,Mono.CD11b.Median,Mono.CD14.Median,Mono.FSC.A,Mono.SSC.A,Mono2.count,Mono2.freq.of.NonEry,Mono2.freq.of.CD56neg,Mono2.CD11b.Median,Mono2.CD14.Median,Mono2.FSC.A,Mono2.SSC.A,Ery.count,IntermediateNeut.FSC.A,IntermediateNeut.SSC.A,EarlyNeut.FSC.A,EarlyNeut.SSC.A,CD66bNeut.CD11b.Median,CD66bNeut.CD66b.Median,CD66bNeut.FSC.A,CD66bNeut.SSC.A,TrueFalse,Sort_id,FSC-A,FSC-W,SSC-A,CD33,CD45RA,CD34,CD90,CD49f,CD38,CD19,Live/Dead,CD7/10,CD45,Time,Cell_seeded
2_H4,AML3,AML_151044_Plate2_H4_H04_079.fcs,25426,25277,24989,16998,12479,73.4,2969,17.5,169472,58240,445,2.62,5964,23.6,23.9,7189,8281,262080,147072,5433,21.5,21.7,7349,8736,262080,148928,0,154368,47040,126912,37056,882,28642,157056,49152,TRUE,2_H4,80895,90350,16360,60,19,1618,197,1151,-112,14,-15,373,2387,20264,HSC
2_H5,AML3,AML_151044_Plate2_H5_H05_080.fcs,16563,16504,15947,10402,206,1.98,12,0.12,168064,65344,3139,30.2,3961,24,24.8,2619,4528,199232,83968,3932,23.8,24.7,2604,4547,198976,83840,0,182720,52288,187072,54336,1297,2986,203968,68672,TRUE,2_H5,67789,86455,12662,136,18,1336,44,1053,-8,1,-3,297,1953,20066,HSC
2_H6,AML3,AML_151044_Plate2_H6_H06_081.fcs,11389,11358,11130,7082,2247,31.7,3377,47.7,170624,52032,502,7.09,3201,28.2,28.8,5812,10041,193088,92352,2763,24.3,24.8,6308,11070,193600,96128,0,175168,42624,166144,49664,1448,22147,171712,48448,TRUE,2_H6,76707,88737,14018,65,44,1732,44,1948,-125,-5,-66,374,1836,19850,HSC
2_H7,AML3,AML_151044_Plate2_H7_H07_082.fcs,5942,5906,5673,4094,841,20.5,1185,28.9,172288,56064,92,2.25,1231,20.8,21.7,3863,7680,194688,92736,1129,19.1,19.9,3975,8814,196288,93760,1,165248,43264,146368,48256,1418,16354,167488,50624,TRUE,2_H7,76475,88028,13531,151,22,1349,-63,1437,-109,46,33,424,2021,19658,HSC
2_H9,AML3,AML_151044_Plate2_H9_H09_083.fcs,467,449,404,108,2,1.85,2,1.85,161984,56256,12,11.1,255,56.8,63.1,2899,5147,192960,76608,250,55.7,61.9,2877,5050,192704,75776,0,184640,40448,150144,52224,2310,5012,93632,58048,TRUE,2_H9,62396,84383,12743,198,7,1374,25,1589,-42,9,-17,295,2030,19180,HSC
2_H11,AML3,AML_151044_Plate2_H11_H11_084.fcs,88,56,32,24,2,8.33,0,0,NA,NA,0,0,7,12.5,21.9,4435,7957,233984,124352,6,10.7,18.8,3800,6559,223872,93248,0,147072,34048,NA,NA,901,17929,147072,34048,TRUE,2_H11,61744,84642,14377,-10,24,1968,12,1218,-188,15,-103,405,2565,18756,HSC
2_H12,AML3,AML_151044_Plate2_H12_H12_085.fcs,102,77,57,20,3,15,0,0,NA,NA,0,0,35,45.5,61.4,4444,7992,236416,137024,32,41.6,56.1,3967,7992,234624,119296,0,147776,54016,NA,NA,814,34684,147776,54016,TRUE,2_H12,70580,87101,16346,-2,22,1346,59,931,-19,13,29,262,1149,18564,HSC
3_A2,AML3,AML_151044_Plate3_A2_A02_001.fcs,3361,1126,1079,1072,0,0,0,0,NA,NA,3,0.28,1,0.089,0.093,21666,19576,262080,262080,1,0.089,0.093,21666,19576,262080,262080,178,NA,NA,84608,26432,NA,NA,NA,NA,TRUE,3_A2,73425,86190,17344,124,1,1147,357,364,123,49,26,336,1658,1066,HSC
3_A3,AML3,AML_151044_Plate3_A3_A03_002.fcs,16768,16618,16099,8889,5480,61.6,626,7.04,209792,56000,1609,18.1,5366,32.3,33.3,6267,2707,235136,123136,5338,32.1,33.2,6267,2718,235072,122880,1,179840,40512,157568,43008,733,15096,181632,41920,TRUE,3_A3,71339,87076,16081,68,9,937,-51,1623,-25,50,19,263,1468,1276,HSC
3_A5,AML3,AML_151044_Plate3_A5_A05_003.fcs,47151,46156,45211,17377,116,0.67,3,0.017,243840,60480,11225,64.6,17498,37.9,38.7,2310,2524,183552,77248,17486,37.9,38.7,2310,2524,183616,77312,10,180608,45312,166592,45376,1036,3619,184192,53568,TRUE,3_A5,63535,82451,11560,110,31,1001,195,1421,17,31,-80,287,1460,1762,HSC
3_A6,AML3,AML_151044_Plate3_A6_A06_004.fcs,2435,2400,2174,1551,2,0.13,1,0.064,97024,64192,11,0.71,558,23.2,25.7,10675,11481,262080,214656,555,23.1,25.5,10723,11560,262080,214592,0,73024,51200,175168,51072,2821,8764,96320,63808,TRUE,3_A6,52866,81944,13482,24,30,1335,81,682,-89,2,-43,332,2687,1968,HSC
3_A7,AML3,AML_151044_Plate3_A7_A07_005.fcs,20482,19674,19268,15216,47,0.31,2,0.013,97728,58752,12589,82.7,1710,8.69,8.87,2013,4008,167232,68992,1706,8.67,8.85,2013,4008,167232,68992,1,182592,40192,183616,46080,1161,2845,205504,56576,TRUE,3_A7,49940,81283,16438,79,27,763,-14,798,-5,27,-13,327,1256,2163,HSC
3_A10,AML3,AML_151044_Plate3_A10_A10_006.fcs,19802,10854,10350,9298,4,0.043,3,0.032,262080,206144,47,0.51,7,0.064,0.068,3195,1612,262080,262080,6,0.055,0.058,3089,1481,262080,262080,152,165056,116224,139008,35840,1287,4567,262080,198720,TRUE,3_A10,75253,91464,19608,-47,-5,1025,163,1089,76,19,-2,267,2956,2802,HSC
3_A11,AML3,AML_151044_Plate3_A11_A11_007.fcs,19722,11797,11445,10294,2777,27,1305,12.7,181120,54784,188,1.83,432,3.66,3.77,3004,4528,187776,88000,400,3.39,3.49,3052,4893,187776,89344,192,164096,40576,151552,39808,923,14755,168000,44544,TRUE,3_A11,72880,87527,14521,3,-6,1169,75,668,-37,18,-55,326,1386,3081,HSC
3_B1,AML3,AML_151044_Plate3_B1_B01_008.fcs,15045,15028,14992,10651,5710,53.6,3540,33.2,175296,43456,788,7.4,2154,14.3,14.4,3769,2911,207424,84864,1989,13.2,13.3,3950,3234,211328,89600,0,170496,37824,154176,43200,968,17074,172032,40128,TRUE,3_B1,73909,87593,14022,140,12,2172,107,1503,92,7,-119,388,2174,5986,HSC
3_B2,AML3,AML_151044_Plate3_B2_B02_009.fcs,28971,27685,27644,15433,111,0.72,31,0.2,205568,54528,9119,59.1,5936,21.4,21.5,2442,2987,190272,84160,5929,21.4,21.4,2442,2992,190208,84096,1,191488,41088,174592,46272,1418,3748,221120,62720,TRUE,3_B2,67488,85153,16933,121,-4,1665,575,2337,-18,19,-129,504,2531,5762,HSC
3_B3,AML3,AML_151044_Plate3_B3_B03_010.fcs,1346,1271,1136,528,3,0.57,4,0.76,87488,54016,9,1.7,559,44,49.2,12786,7663,262080,199168,555,43.7,48.9,12815,7680,262080,199168,0,175168,44096,166016,49600,2928,8184,89472,60416,TRUE,3_B3,72804,86667,15218,135,18,1356,263,275,-22,29,-34,281,1170,5557,HSC
3_B4,AML3,AML_151044_Plate3_B4_B04_011.fcs,522,447,431,191,4,2.09,0,0,NA,NA,135,70.7,5,1.12,1.16,1693,8639,237312,70464,5,1.12,1.16,1693,8639,237312,70464,1,193920,45760,174080,39424,1022,2666,193920,45760,TRUE,3_B4,71612,87013,13119,54,26,1193,57,1507,-76,21,-5,329,1838,5322,HSC
3_B5,AML3,AML_151044_Plate3_B5_B05_012.fcs,50721,46091,45073,35188,4158,11.8,429,1.22,232128,67840,14086,40,5034,10.9,11.2,3785,3590,209728,102144,5016,10.9,11.1,3761,3590,209408,101760,26,191488,47680,159872,43136,772,7050,196608,50816,TRUE,3_B5,72284,84896,14365,220,23,1404,-23,1672,-100,22,-13,332,1698,5096,HSC
3_B6,AML3,AML_151044_Plate3_B6_B06_013.fcs,19940,17283,16594,15687,9663,61.6,3211,20.5,175872,49600,96,0.61,232,1.34,1.4,3590,4841,184896,83264,190,1.1,1.14,4142,5887,183424,85056,41,161024,36416,151168,33920,864,17025,163776,39296,TRUE,3_B6,81579,90598,17183,150,-2,1021,230,1087,-59,14,51,518,2587,4848,HSC
3_B7,AML3,AML_151044_Plate3_B7_B07_014.fcs,36020,31999,31050,16775,163,0.97,29,0.17,216768,73984,7500,44.7,6079,19,19.6,1939,3138,154624,61056,6044,18.9,19.5,1935,3145,154304,60992,81,168064,47424,146304,48576,1415,4145,176896,65408,TRUE,3_B7,71272,86152,13387,123,23,1590,-48,1913,-181,17,27,382,2095,4587,HSC
3_B8,AML3,AML_151044_Plate3_B8_B08_015.fcs,4702,4656,4409,1072,6,0.56,4,0.37,176192,62784,276,25.7,3142,67.5,71.3,8581,5521,240768,125376,3131,67.2,71,8562,5544,240384,125120,0,151872,48128,154240,46080,2447,5477,85760,52160,TRUE,3_B8,78977,90343,14349,232,19,1878,-20,1211,-144,30,-46,343,2384,4388,HSC
3_B9,AML3,AML_151044_Plate3_B9_B09_016.fcs,3485,1851,1719,1687,2,0.12,2,0.12,137216,89472,5,0.3,7,0.38,0.41,8993,2350,223744,122816,4,0.22,0.23,2288,2739,121792,41792,23,106624,33344,138752,44736,1132,5012,137216,89472,TRUE,3_B9,115924,106885,39102,168,2,1696,66,476,16,125,-1,413,2029,4182,HSC
3_B10,AML3,AML_151044_Plate3_B10_B10_017.fcs,57845,51401,50935,25215,42,0.17,3,0.012,160768,45056,6246,24.8,13419,26.1,26.3,1983,3070,169600,68928,13417,26.1,26.3,1983,3070,169600,68928,48,149632,32832,172416,41856,1315,3068,163712,46592,TRUE,3_B10,58803,81850,10500,60,18,968,56,628,15,49,-23,271,1290,3971,HSC
3_B11,AML3,AML_151044_Plate3_B11_B11_018.fcs,30025,26604,26205,13406,378,2.82,59,0.44,233664,60992,5648,42.1,6541,24.6,25,3612,4237,237568,119424,6535,24.6,24.9,3604,4237,237568,119360,86,190144,44608,158464,44096,1020,4395,204032,54336,TRUE,3_B11,75116,89776,14978,150,15,1336,-61,2478,-153,25,2,409,1235,3731,HSC
3_C1,AML3,AML_151044_Plate3_C1_C01_019.fcs,50989,48852,48594,21715,2303,10.6,160,0.74,225792,73664,11049,50.9,17619,36.1,36.3,2951,2771,185728,84288,17613,36.1,36.2,2951,2771,185728,84288,14,187776,50752,165120,48640,770,4406,191616,53184,TRUE,3_C1,79418,90273,14653,-19,13,1135,20,1023,-72,31,-52,267,2138,6211,HSC
3_C2,AML3,AML_151044_Plate3_C2_C02_020.fcs,22078,22010,21993,13887,9531,68.6,1851,13.3,193408,50816,1321,9.51,5366,24.4,24.4,5725,3201,230016,119488,5318,24.2,24.2,5774,3234,230656,120128,0,179968,40448,168960,41152,760,14382,181504,41856,TRUE,3_C2,75523,88065,17821,75,7,1499,116,470,-137,41,-68,362,1975,6456,HSC
3_C3,AML3,AML_151044_Plate3_C3_C03_021.fcs,20310,20010,19810,7341,55,0.75,5,0.068,148288,38912,6507,88.6,8593,42.9,43.4,2554,3246,163776,66432,8587,42.9,43.3,2558,3246,163776,66432,4,169024,39552,162496,40768,1101,3486,166016,52096,TRUE,3_C3,67761,85936,12537,145,42,1430,19,1271,-129,27,-38,333,2503,6678,HSC
3_C4,AML3,AML_151044_Plate3_C4_C04_022.fcs,1894,1718,1692,1173,15,1.28,1,0.085,234368,82624,910,77.6,9,0.52,0.53,1976,4781,199232,76864,9,0.52,0.53,1976,4781,199232,76864,1,201344,44160,180864,44288,1065,2880,203776,47680,TRUE,3_C4,57499,85744,11148,-11,2,758,-62,926,-98,19,-13,416,1174,6876,HSC
3_C5,AML3,AML_151044_Plate3_C5_C05_023.fcs,75,60,46,40,1,2.5,0,0,NA,NA,3,7.5,1,1.67,2.17,2917,1179,262080,113472,1,1.67,2.17,2917,1179,262080,113472,0,216256,56192,153408,45120,810,4361,159360,56192,TRUE,3_C5,68821,83102,12724,13,46,1384,54,1268,-91,17,30,369,1148,7103,HSC
3_C7,AML3,AML_151044_Plate3_C7_C07_024.fcs,5259,4166,3971,3623,7,0.19,7,0.19,192000,65984,19,0.52,87,2.09,2.19,6689,1350,262080,198592,40,0.96,1.01,5497,1899,262080,181696,17,140224,38016,127744,45632,3441,7107,259712,131520,TRUE,3_C7,82246,90469,16340,-35,21,1679,127,1101,-110,21,-68,493,1951,7543,HSC
3_C8,AML3,AML_151044_Plate3_C8_C08_025.fcs,4419,4286,4037,1283,0,0,0,0,NA,NA,5,0.39,2445,57,60.6,7939,4219,257536,128128,2415,56.3,59.8,7886,4281,256640,127680,1,NA,NA,161088,39872,3583,7203,91328,61568,TRUE,3_C8,58789,82600,15654,8,16,1772,190,2065,-186,-2,-74,396,2621,7738,HSC
3_C10,AML3,AML_151044_Plate3_C10_C10_026.fcs,28405,27276,26752,20234,29,0.14,0,0,NA,NA,7859,38.8,1864,6.83,6.97,1718,3400,170304,60992,1864,6.83,6.97,1718,3400,170304,60992,0,159424,36800,171392,39552,1195,2986,178048,55744,TRUE,3_C10,62483,82505,13188,36,23,863,86,467,-54,35,-17,291,1936,8146,HSC
3_C11,AML3,AML_151044_Plate3_C11_C11_027.fcs,22036,19100,18531,11618,71,0.61,10,0.086,199296,47680,4940,42.5,3444,18,18.6,2655,2799,213120,101824,3413,17.9,18.4,2634,2815,212224,101248,68,148928,46464,144640,44864,1910,4339,193536,82688,TRUE,3_C11,68876,84359,14822,29,31,1039,650,2455,-15,11,-112,291,2536,8337,HSC
3_C12,AML3,AML_151044_Plate3_C12_C12_028.fcs,67554,58689,57408,38717,454,1.17,34,0.088,209984,57472,16327,42.2,7674,13.1,13.4,1917,3240,152640,66560,7672,13.1,13.4,1917,3240,152640,66560,123,179008,48768,166464,50624,1055,3738,181952,55232,TRUE,3_C12,54094,81336,17383,134,46,1206,-50,1911,-80,11,-14,332,1476,8546,HSC
3_D3,AML3,AML_151044_Plate3_D3_D03_029.fcs,452,251,219,197,0,0,0,0,NA,NA,23,11.7,5,1.99,2.28,1791,2899,170304,65280,5,1.99,2.28,1791,2899,170304,65280,5,NA,NA,177088,56896,NA,NA,NA,NA,TRUE,3_D3,71175,84628,15638,137,19,1036,11,828,-30,32,47,247,1620,10737,HSC
3_D4,AML3,AML_151044_Plate3_D4_D04_030.fcs,37084,31413,30651,23393,819,3.5,47,0.2,219136,65856,15097,64.5,4600,14.6,15,3163,2619,181632,80384,4590,14.6,15,3163,2619,181632,80384,334,189120,45120,177856,43072,846,3646,194240,49088,TRUE,3_D4,71519,85766,12130,215,38,925,-72,1410,-99,33,-71,390,2123,10540,HSC
3_D5,AML3,AML_151044_Plate3_D5_D05_031.fcs,1491,1456,1391,941,14,1.49,0,0,NA,NA,440,46.8,132,9.07,9.49,1664,4049,158272,52288,131,9,9.42,1664,4099,158272,52288,1,148160,45184,166272,41792,1130,2979,151488,49536,TRUE,3_D5,73090,86028,11541,204,5,997,70,1115,-85,30,-12,320,1226,10339,HSC
3_D6,AML3,AML_151044_Plate3_D6_D06_032.fcs,8949,8862,8698,2889,383,13.3,166,5.75,218112,56000,1787,61.9,4309,48.6,49.5,6186,3332,238208,121152,4296,48.5,49.4,6173,3345,238144,120896,0,180544,39168,173120,46528,1067,6436,193408,47616,TRUE,3_D6,66175,86037,11525,54,9,1052,9,1201,-75,17,-43,226,1419,10091,HSC
3_D7,AML3,AML_151044_Plate3_D7_D07_033.fcs,2079,2040,1999,1605,170,10.6,65,4.05,170880,50496,11,0.69,55,2.7,2.75,2899,3083,201600,71616,48,2.35,2.4,2899,3525,201600,73344,1,160256,37888,142464,50240,1987,7301,186880,86976,TRUE,3_D7,82151,90723,19553,77,34,1742,215,1075,-7,22,-49,330,1098,9870,HSC
3_D8,AML3,AML_151044_Plate3_D8_D08_034.fcs,29689,28161,27591,14540,1301,8.95,383,2.63,216192,56512,5663,38.9,9170,32.6,33.2,4821,2660,232960,117888,9138,32.4,33.1,4811,2670,232896,117632,10,181632,38848,174912,42688,1002,5578,193344,45952,TRUE,3_D8,72628,87016,15426,89,27,1527,235,649,-98,32,-61,370,1928,9663,HSC
3_D9,AML3,AML_151044_Plate3_D9_D09_035.fcs,590,400,366,334,0,0,0,0,NA,NA,4,1.2,4,1,1.09,8392,1509,262080,181440,2,0.5,0.55,6120,1538,253120,156352,11,NA,NA,145216,39616,1106,2784,53632,38784,TRUE,3_D9,75990,88217,22272,179,15,1728,-6,1853,-25,43,-75,410,2975,9470,HSC
3_D10,AML3,AML_151044_Plate3_D10_D10_036.fcs,2486,2436,2358,2195,4,0.18,0,0,NA,NA,299,13.6,36,1.48,1.53,1696,2670,181888,59904,36,1.48,1.53,1696,2670,181888,59904,0,159552,41344,163328,37248,1384,3038,159488,52416,TRUE,3_D10,63569,85893,9631,47,19,840,-48,1253,-61,27,24,349,1493,9259,HSC
3_D11,AML3,AML_151044_Plate3_D11_D11_037.fcs,6455,6326,5954,4904,1,0.02,1,0.02,146816,36480,281,5.73,777,12.3,13.1,6866,4623,239936,125760,770,12.2,12.9,6821,4682,238912,124736,0,160448,44480,163776,43584,3227,7708,119232,70528,TRUE,3_D11,66986,82965,11261,84,32,1373,46,902,-134,11,-96,355,4183,9018,HSC
3_D12,AML3,AML_151044_Plate3_D12_D12_038.fcs,5563,3588,3406,3377,0,0,2,0.059,79424,55040,3,0.089,22,0.61,0.65,6173,4016,262080,262080,16,0.45,0.47,5725,4831,253504,128576,31,NA,NA,175936,33088,3227,9388,221952,172672,TRUE,3_D12,84019,91497,14812,73,22,1611,39,435,40,59,203,369,2458,8788,HSC
3_E1,AML3,AML_151044_Plate3_E1_E01_039.fcs,57615,45867,45664,24807,11608,46.8,1071,4.32,213184,58880,8171,32.9,17348,37.8,38,3604,3386,182528,82816,17333,37.8,38,3612,3386,182528,82816,682,184640,42880,176448,43648,717,6118,186944,44160,TRUE,3_E1,80072,88990,16551,98,15,1032,-29,1581,-46,39,52,405,1893,11378,HSC
3_E2,AML3,AML_151044_Plate3_E2_E02_040.fcs,1280,1271,1268,667,15,2.25,0,0,NA,NA,564,84.6,10,0.79,0.79,4882,5774,193344,85568,10,0.79,0.79,4882,5774,193344,85568,0,198080,47616,167872,41216,747,4429,198080,49856,TRUE,3_E2,67706,85938,12962,-36,18,1256,-96,2233,-117,32,-123,298,2793,11622,HSC
3_E4,AML3,AML_151044_Plate3_E4_E04_041.fcs,3728,3655,3490,1511,17,1.13,1,0.066,155776,102720,754,49.9,1481,40.5,42.4,2495,3246,190720,74944,1480,40.5,42.4,2495,3246,190720,74944,0,184960,41664,184512,43264,1330,3253,184960,55680,TRUE,3_E4,78685,87821,18278,140,31,1643,-39,986,-1,47,-73,423,2158,12053,HSC
3_E5,AML3,AML_151044_Plate3_E5_E05_042.fcs,27445,27277,26673,23637,16723,70.7,4526,19.1,193024,49920,1178,4.98,1319,4.84,4.95,4965,2156,219328,107136,1256,4.6,4.71,5103,2202,219776,108288,0,172800,36352,168256,38144,823,13704,176128,38784,TRUE,3_E5,85610,95213,17651,28,18,1129,33,719,90,9,-65,355,2056,12276,HSC
3_E6,AML3,AML_151044_Plate3_E6_E06_043.fcs,224,199,184,177,6,3.39,3,1.69,251392,55424,24,13.6,1,0.5,0.54,7869,7095,262080,177088,1,0.5,0.54,7869,7095,262080,177088,1,170816,37568,177920,38144,839,9572,178496,40000,TRUE,3_E6,73179,86346,14545,16,48,1013,135,1256,-102,1,47,373,1603,12480,HSC
3_E7,AML3,AML_151044_Plate3_E7_E07_044.fcs,16047,15279,14697,9719,16,0.16,8,0.082,172480,39936,1864,19.2,3277,21.4,22.3,4462,2665,222208,107008,3261,21.3,22.2,4453,2670,222080,106624,3,147072,40256,168384,40320,2319,5742,140928,60224,TRUE,3_E7,66557,82565,14690,146,8,1378,93,1150,-31,41,65,351,1709,12674,HSC
3_E8,AML3,AML_151044_Plate3_E8_E08_045.fcs,34531,21569,20800,17685,2530,14.3,1000,5.65,197184,55104,48,0.27,100,0.46,0.48,6516,2826,262080,252544,82,0.38,0.39,6107,3619,262080,255552,121,168256,37376,147584,38976,1016,13860,179328,45632,TRUE,3_E8,75646,88704,17094,29,27,867,89,662,66,19,8,390,1280,12911,HSC
3_E9,AML3,AML_151044_Plate3_E9_E09_046.fcs,7637,7025,6899,6243,32,0.51,2,0.032,188160,45440,5970,95.6,18,0.26,0.26,1462,7869,243328,79104,18,0.26,0.26,1462,7869,243328,79104,0,168768,38080,185408,44160,1244,2943,205888,51840,TRUE,3_E9,78859,89557,17622,180,-13,952,113,1247,-88,42,-52,337,2121,13159,HSC
3_E11,AML3,AML_151044_Plate3_E11_E11_047.fcs,18840,18205,17460,11751,12,0.1,2,0.017,191872,46976,1034,8.8,3566,19.6,20.4,3420,2604,218560,101056,3543,19.5,20.3,3400,2609,218304,100480,1,158848,47424,171008,45056,2697,6974,95104,59840,TRUE,3_E11,78435,93554,16186,253,51,2364,43,1355,-88,24,-50,474,2145,13592,HSC
3_E12,AML3,AML_151044_Plate3_E12_E12_048.fcs,12708,12269,11880,2883,916,31.8,116,4.02,217216,64256,898,31.1,7848,64,66.1,5169,6418,262080,154688,7838,63.9,66,5169,6432,262080,154688,4,182592,46784,151872,48768,762,11408,185536,48640,TRUE,3_E12,69741,88050,11588,143,-11,1403,752,661,-16,35,-43,351,2030,13815,HSC
3_F1,AML3,AML_151044_Plate3_F1_F01_049.fcs,4289,4269,4261,2894,15,0.52,1,0.035,213504,87936,1948,67.3,48,1.12,1.13,1529,5347,209920,72000,47,1.1,1.1,1529,5427,209920,72000,0,200576,60032,180480,45568,1283,2838,219328,69504,TRUE,3_F1,82295,94755,16843,244,0,1923,19,1258,66,28,-36,502,2461,16254,HSC
3_F2,AML3,AML_151044_Plate3_F2_F02_050.fcs,30319,29662,29529,14305,82,0.57,3,0.021,228992,62912,7417,51.8,11519,38.8,39,2686,4594,170048,72448,11513,38.8,39,2686,4594,170048,72384,3,187456,47808,186176,44672,1138,3075,202368,56576,TRUE,3_F2,73839,89238,14834,127,25,1219,26,937,-102,29,28,439,1705,16038,HSC
3_F3,AML3,AML_151044_Plate3_F3_F03_051.fcs,3226,3200,3142,2540,403,15.9,618,24.3,161856,52800,20,0.79,208,6.5,6.62,3028,2244,188736,79424,167,5.22,5.32,3107,2837,189056,82176,0,149184,39872,142976,43776,1639,12624,166592,55424,TRUE,3_F3,79031,88908,16553,93,16,1251,-52,1730,127,31,34,325,1955,15835,HSC
3_F5,AML3,AML_151044_Plate3_F5_F05_052.fcs,32702,30584,29733,11797,92,0.78,27,0.23,206976,50048,4091,34.7,13346,43.6,44.9,3554,3163,228416,102336,13332,43.6,44.8,3554,3163,228416,102272,50,171392,39360,168128,41984,1764,4674,189312,56640,TRUE,3_F5,60410,84971,15564,130,-8,1296,400,2195,-144,11,-110,231,2192,15427,HSC
3_F6,AML3,AML_151044_Plate3_F6_F06_053.fcs,97,79,63,60,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,3_F6,72261,87174,14567,114,22,1860,-81,2537,-189,31,-60,519,3610,15227,HSC
3_F7,AML3,AML_151044_Plate3_F7_F07_054.fcs,9230,9053,8830,8674,185,2.13,12,0.14,187008,51328,3095,35.7,8,0.088,0.091,1794,7596,262080,71360,8,0.088,0.091,1794,7596,262080,71360,1,175232,41472,167616,36416,1218,3008,198528,52672,TRUE,3_F7,70830,85611,15345,90,11,1146,149,1818,-137,18,-71,382,1788,15012,HSC
3_F8,AML3,AML_151044_Plate3_F8_F08_055.fcs,918,903,870,843,0,0,0,0,NA,NA,113,13.4,1,0.11,0.11,2917,2177,116224,79360,1,0.11,0.11,2917,2177,116224,79360,0,NA,NA,171200,37120,1345,2751,241472,70592,TRUE,3_F8,64317,85756,13373,91,16,1957,102,2235,-97,13,-59,454,1976,14811,HSC
3_F9,AML3,AML_151044_Plate3_F9_F09_056.fcs,11871,11657,11518,8837,8,0.091,0,0,NA,NA,4794,54.2,840,7.21,7.29,1744,3686,166656,53632,840,7.21,7.29,1744,3686,166656,53632,1,155328,33536,164800,37376,1373,2979,155328,48192,TRUE,3_F9,67334,85167,13934,294,27,1259,-43,2317,-55,28,-39,334,2003,14612,HSC
3_F11,AML3,AML_151044_Plate3_F11_F11_057.fcs,19992,19498,19208,18110,32,0.18,0,0,NA,NA,12129,67,163,0.84,0.85,1661,3028,179072,54400,163,0.84,0.85,1661,3028,179072,54400,2,166272,38336,179712,41792,1206,3008,196544,77760,TRUE,3_F11,65524,85986,11860,10,29,1062,7,1140,-158,18,36,335,1648,14211,HSC
3_F12,AML3,AML_151044_Plate3_F12_F12_058.fcs,57,44,35,31,0,0,0,0,NA,NA,8,25.8,2,4.55,5.71,10364,1998,262080,262080,1,2.27,2.86,20327,11773,262080,262080,0,NA,NA,181760,49088,NA,NA,NA,NA,TRUE,3_F12,77251,95064,14863,-42,34,1981,12,1289,-135,20,-83,463,2127,14011,HSC
3_G1,AML3,AML_151044_Plate3_G1_G01_059.fcs,25061,24967,24912,16386,40,0.24,1,0.0061,213312,65280,10557,64.4,4238,17,17,1991,4185,179072,63104,4238,17,17,1991,4185,179072,63104,0,198720,54592,183040,46656,1415,3030,185344,58560,TRUE,3_G1,75187,92439,16061,99,-3,1483,71,1243,-111,27,-116,286,1563,16525,HSC
3_G4,AML3,AML_151044_Plate3_G4_G04_060.fcs,32123,30740,30687,21608,1593,7.37,90,0.42,241600,72448,15963,73.9,6293,20.5,20.5,2670,3286,177792,74880,6292,20.5,20.5,2670,3286,177792,74880,150,193280,45760,176704,42368,748,4295,196928,48448,TRUE,3_G4,67772,85931,13493,91,21,1421,13,1290,-123,21,-32,389,1454,17219,HSC
3_G5,AML3,AML_151044_Plate3_G5_G05_061.fcs,24802,15758,15276,14604,14,0.096,0,0,NA,NA,1409,9.65,150,0.95,0.98,1664,5359,169472,57728,150,0.95,0.98,1664,5359,169472,57728,748,160640,37760,167488,41856,1123,2764,201024,57216,TRUE,3_G5,74014,85267,15636,-22,-2,1681,-1,644,-115,27,31,539,1778,17433,HSC
3_G6,AML3,AML_151044_Plate3_G6_G06_062.fcs,41671,40532,39916,28509,13,0.046,1,0.00351,203392,80128,7019,24.6,4916,12.1,12.3,1939,2888,191040,73152,4913,12.1,12.3,1939,2888,191040,73152,19,182912,46336,172800,40768,2350,5307,94400,58688,TRUE,3_G6,55946,82136,14565,103,27,1572,-30,2195,-257,18,-118,387,2372,17640,HSC
3_G7,AML3,AML_151044_Plate3_G7_G07_063.fcs,3104,3005,2926,1078,568,52.7,61,5.66,211520,52864,253,23.5,1610,53.6,55,7714,6516,262080,179072,1601,53.3,54.7,7714,6559,262080,178752,1,184384,39104,170688,40064,722,8526,186752,40640,TRUE,3_G7,81454,89396,14085,278,-7,1008,184,1007,-28,7,-24,392,2025,17872,HSC
3_G8,AML3,AML_151044_Plate3_G8_G08_064.fcs,26481,26039,25667,15706,86,0.55,7,0.045,227136,70080,13996,89.1,6303,24.2,24.6,2782,2400,189760,73216,6300,24.2,24.5,2782,2400,189760,73216,0,200640,46976,175360,42816,1063,3151,207936,56768,TRUE,3_G8,73902,86885,14205,61,32,1331,9,1165,-26,12,-53,462,1990,18065,HSC
