"Plate_well","exp","fcs.name","SingleCells.count","NonEry.count","CD56neg.count","CD14neg.count","IntermediateNeut.count","IntermediateNeut.freq.of.CD14neg","MatureNeut.count","MatureNeut.freq.of.CD14neg","MatureNeut.FSC.A","MatureNeut.SSC.A","EarlyNeut.count","EarlyNeut.freq.of.CD14neg","Mono.count","Mono.freq.of.NonEry","Mono.freq.of.CD56neg","Mono.CD11b.Median","Mono.CD14.Median","Mono.FSC.A","Mono.SSC.A","Mono2.count","Mono2.freq.of.NonEry","Mono2.freq.of.CD56neg","Mono2.CD11b.Median","Mono2.CD14.Median","Mono2.FSC.A","Mono2.SSC.A","Ery.count","IntermediateNeut.FSC.A","IntermediateNeut.SSC.A","EarlyNeut.FSC.A","EarlyNeut.SSC.A","CD66bNeut.CD11b.Median","CD66bNeut.CD66b.Median","CD66bNeut.FSC.A","CD66bNeut.SSC.A","TrueFalse"
"1_H7","AML2","LEUK37_Plate1_H7_H07_091.fcs",7462,5141,5116,4869,21,0.43,10,0.21,142336,114048,36,0.74,3,0.058,0.059,4099,1440,171904,95744,1,0.019,0.02,4099,1781,171904,46080,21,185472,127488,123008,42176,1154,6987,157440,125056,"TRUE"
"1_H8","AML2","LEUK37_Plate1_H8_H08_092.fcs",19929,19925,19923,17492,12027,68.8,4804,27.5,173440,38272,379,2.17,931,4.67,4.67,1884,5093,180864,49472,331,1.66,1.66,4741,3831,184064,74432,0,170176,33792,158144,35712,840,20327,170816,35008,"TRUE"
"1_H9","AML2","LEUK37_Plate1_H9_H09_093.fcs",37064,37057,37034,34690,27086,78.1,2018,5.82,202944,46144,4462,12.9,733,1.98,1.98,2810,4016,194176,66304,530,1.43,1.43,3413,3847,187392,72192,1,185856,36864,180480,35136,668,10895,186816,37440,"TRUE"
"1_H10","AML2","LEUK37_Plate1_H10_H10_094.fcs",44553,44390,44372,22758,41,0.18,2,0.00879,162752,30720,5597,24.6,17141,38.6,38.6,2992,2202,199168,72512,17042,38.4,38.4,2981,2202,199040,72256,0,192320,37376,169280,40512,1892,5824,176768,64640,"TRUE"
"1_H11","AML2","LEUK37_Plate1_H11_H11_095.fcs",1694,1652,1563,958,117,12.2,1,0.1,228352,71424,491,51.3,7,0.42,0.45,1705,3723,207104,67776,5,0.3,0.32,1134,4662,224576,67776,2,198208,40704,181824,37632,625,3761,198208,41792,"TRUE"
"1_H12","AML2","LEUK37_Plate1_H12_H12_096.fcs",20739,19025,19015,18427,2166,11.8,569,3.09,179968,45056,385,2.09,70,0.37,0.37,2006,2723,198848,80512,17,0.089,0.089,2115,3434,190016,108928,4,168192,35008,143296,62336,923,16268,175040,41344,"TRUE"
"2_A1","AML2","LEUK37_Plate2_A1_A01_001.fcs",13171,13165,13154,8478,5921,69.8,1403,16.5,177792,39552,990,11.7,1081,8.21,8.22,1552,6972,192448,48448,271,2.06,2.06,2177,7221,203904,74688,0,164160,32000,162048,36736,740,24683,166656,33280,"TRUE"
"2_A2","AML2","LEUK37_Plate2_A2_A02_002.fcs",19772,16810,16778,10494,2359,22.5,5554,52.9,157696,31296,466,4.44,3801,22.6,22.7,2681,5136,175104,40192,753,4.48,4.49,4228,3400,180032,62720,132,161408,30016,152256,34688,1603,24334,158848,31040,"TRUE"
"2_A3","AML2","LEUK37_Plate2_A3_A03_003.fcs",15,13,13,11,0,0,3,27.3,156672,178240,0,0,1,7.69,7.69,2181,3870,155328,36928,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1822,8135,156672,178240,"FALSE"
"2_A4","AML2","LEUK37_Plate2_A4_A04_004.fcs",45439,45428,45417,36430,12507,34.3,22277,61.2,160832,32704,390,1.07,4571,10.1,10.1,2871,3959,181056,45376,1415,3.11,3.12,6363,4299,194880,81216,0,163712,31232,154944,32896,1410,22027,161600,32192,"TRUE"
"2_A5","AML2","LEUK37_Plate2_A5_A05_005.fcs",77687,77564,77547,25116,199,0.79,9,0.036,163136,42240,15817,63,43098,55.6,55.6,2500,2599,168256,50304,42964,55.4,55.4,2495,2604,168192,50240,0,188800,39360,167488,38080,826,5136,183936,43392,"TRUE"
"2_A6","AML2","LEUK37_Plate2_A6_A06_006.fcs",5874,5871,5871,2304,11,0.48,0,0,NA,NA,2268,98.4,255,4.34,4.34,1731,3612,175360,55168,255,4.34,4.34,1731,3612,175360,55168,1,219072,47872,174912,34944,798,2728,210368,47296,"TRUE"
"2_A7","AML2","LEUK37_Plate2_A7_A07_007.fcs",11550,11488,11482,1813,88,4.85,18,0.99,177216,33536,651,35.9,9216,80.2,80.3,4263,6588,213504,99968,8988,78.2,78.3,4281,6747,213312,99200,2,146112,29568,124736,35584,1038,6377,165120,37696,"TRUE"
"2_A8","AML2","LEUK37_Plate2_A8_A08_008.fcs",16733,16720,16713,10435,5111,49,4409,42.3,163136,30656,576,5.52,3210,19.2,19.2,3046,4614,180800,44416,1426,8.53,8.53,6645,2691,196928,73472,0,167360,30080,156032,36736,1044,26072,165632,30400,"TRUE"
"2_A9","AML2","LEUK37_Plate2_A9_A09_009.fcs",11346,11344,11344,8264,6809,82.4,1362,16.5,171968,38400,14,0.17,459,4.05,4.05,1360,7173,176640,41792,30,0.26,0.26,1340,13174,177152,43520,0,163328,32064,145216,25600,755,16691,164416,32960,"TRUE"
"2_A10","AML2","LEUK37_Plate2_A10_A10_010.fcs",56248,56020,56011,32994,7415,22.5,72,0.22,195904,41280,18321,55.5,17796,31.8,31.8,3427,1953,164160,55104,17453,31.2,31.2,3400,1953,163392,54592,1,181184,33536,156736,32768,496,6308,181632,33728,"TRUE"
"2_A11","AML2","LEUK37_Plate2_A11_A11_011.fcs",3865,3855,3853,2658,2135,80.3,171,6.43,192512,46912,252,9.48,121,3.14,3.14,1295,7512,178560,42304,54,1.4,1.4,1261,10156,176832,41920,0,159616,32960,153856,29440,705,6446,161920,33984,"TRUE"
"2_A12","AML2","LEUK37_Plate2_A12_A12_012.fcs",4780,2159,2110,2060,32,1.55,31,1.5,162112,163712,14,0.68,2,0.093,0.095,1964,1495,151168,55744,2,0.093,0.095,1964,1495,151168,55744,188,152000,134592,126656,38080,1263,6335,158336,148416,"TRUE"
"2_B1","AML2","LEUK37_Plate2_B1_B01_013.fcs",59736,39068,39059,30297,12748,42.1,1074,3.54,182592,40000,8340,27.5,4894,12.5,12.5,3777,2193,183104,73600,4551,11.6,11.7,3769,2257,181888,71552,841,178560,33216,172928,35904,570,9951,178816,33984,"TRUE"
"2_B2","AML2","LEUK37_Plate2_B2_B02_014.fcs",12992,12970,12968,7934,3640,45.9,4016,50.6,165888,37888,32,0.4,2517,19.4,19.4,1870,5925,179648,44736,174,1.34,1.34,2223,9884,171904,57984,0,162304,33472,152896,47104,1141,22448,163840,35904,"TRUE"
"2_B3","AML2","LEUK37_Plate2_B3_B03_015.fcs",52,51,51,49,3,6.12,2,4.08,113344,32064,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,166400,29952,NA,NA,1867,11746,169408,46400,"TRUE"
"2_B4","AML2","LEUK37_Plate2_B4_B04_016.fcs",7280,7236,7232,2629,137,5.21,14,0.53,163840,32448,1299,49.4,2666,36.8,36.9,4771,7904,190912,80320,2577,35.6,35.6,4821,8010,190656,79488,6,151936,35648,89856,34240,1615,5007,147392,95040,"TRUE"
"2_B5","AML2","LEUK37_Plate2_B5_B05_017.fcs",52287,52273,52265,36554,13173,36,2147,5.87,187328,39360,19305,52.8,10229,19.6,19.6,4352,2593,175808,59456,9883,18.9,18.9,4380,2573,175040,59456,0,182848,34752,179520,35968,646,11273,183360,35456,"TRUE"
"2_B6","AML2","LEUK37_Plate2_B6_B06_018.fcs",1322,643,580,540,36,6.67,24,4.44,149888,126656,17,3.15,9,1.4,1.55,5616,3352,191168,68032,9,1.4,1.55,5616,3352,191168,68032,70,161920,122944,154176,33664,1204,6545,153408,123648,"TRUE"
"2_B7","AML2","LEUK37_Plate2_B7_B07_019.fcs",18115,18107,18101,6769,3413,50.4,1050,15.5,168576,33920,1818,26.9,5883,32.5,32.5,5202,2871,184768,60992,4899,27.1,27.1,5640,2614,185088,64768,0,173824,32576,164672,35264,745,13419,172608,32896,"TRUE"
"2_B8","AML2","LEUK37_Plate2_B8_B08_020.fcs",24590,13117,13103,12988,42,0.32,22,0.17,171968,169216,35,0.27,5,0.038,0.038,6173,7381,205696,111296,4,0.03,0.031,5393,7381,203392,83456,340,180864,140032,125184,29376,1582,6120,163520,147200,"TRUE"
"2_B9","AML2","LEUK37_Plate2_B9_B09_021.fcs",13169,13138,13131,7113,4035,56.7,2041,28.7,164544,34368,792,11.1,1901,14.5,14.5,2040,7018,187392,47872,801,6.1,6.1,3532,6349,206720,79168,0,157248,29120,165504,36864,910,30088,159552,30848,"TRUE"
"2_B10","AML2","LEUK37_Plate2_B10_B10_022.fcs",7045,7033,6997,4271,18,0.42,1,0.023,251520,57728,261,6.11,2426,34.5,34.7,6015,3701,217344,88448,2302,32.7,32.9,5912,3746,216576,86528,0,176768,29760,177856,41344,1421,5521,175296,57728,"TRUE"
"2_B11","AML2","LEUK37_Plate2_B11_B11_023.fcs",8014,8014,8014,4618,3773,81.7,213,4.61,202368,40704,541,11.7,137,1.71,1.71,1371,7596,196480,46080,39,0.49,0.49,1615,9364,180928,45376,0,181824,35840,174592,33920,660,10271,182528,36160,"TRUE"
"2_B12","AML2","LEUK37_Plate2_B12_B12_024.fcs",787,389,369,363,27,7.44,41,11.3,176832,176576,0,0,1,0.26,0.27,3878,2037,236160,222016,0,0,0,NA,NA,NA,NA,52,142720,126528,NA,NA,1295,6404,150848,139136,"TRUE"
"2_C1","AML2","LEUK37_Plate2_C1_C01_025.fcs",5858,5231,5216,2077,382,18.4,1108,53.3,150016,29760,24,1.16,2243,42.9,43,3266,9197,164736,37888,509,9.73,9.76,9449,6836,204352,87872,34,162496,29568,133632,32192,1924,35251,152512,29952,"TRUE"
"2_C2","AML2","LEUK37_Plate2_C2_C02_026.fcs",40843,40795,40788,29285,16424,56.1,6217,21.2,176448,36672,3804,13,7282,17.9,17.9,5347,2048,192960,70080,6296,15.4,15.4,5750,2002,192192,73280,5,178176,33728,159936,35392,805,14054,177536,34560,"TRUE"
"2_C3","AML2","LEUK37_Plate2_C3_C03_027.fcs",31579,31571,31560,19159,14,0.073,5,0.026,180992,33344,8327,43.5,7252,23,23,1744,3641,174400,47808,7238,22.9,22.9,1741,3641,174400,47808,0,167040,32896,182080,37760,1307,7479,167040,51712,"TRUE"
"2_C4","AML2","LEUK37_Plate2_C4_C04_028.fcs",19621,19460,19362,13235,3758,28.4,8434,63.7,165056,36736,218,1.65,4309,22.1,22.3,3626,4986,180864,62208,2612,13.4,13.5,4462,5509,180736,73472,5,171136,34560,150080,43328,1523,30016,167104,36160,"TRUE"
"2_C5","AML2","LEUK37_Plate2_C5_C05_029.fcs",11403,11399,11392,6979,4446,63.7,2241,32.1,174912,36224,135,1.93,1379,12.1,12.1,1670,6881,183616,41920,217,1.9,1.9,4472,5533,179520,65408,0,173184,32576,157376,37824,886,19484,173888,33792,"TRUE"
"2_C6","AML2","LEUK37_Plate2_C6_C06_030.fcs",13864,10735,10678,7092,2029,28.6,1105,15.6,170496,36096,347,4.89,1548,14.4,14.5,3476,5521,179264,60352,1007,9.38,9.43,4682,5544,176832,71488,75,177600,34752,159232,36544,890,17408,175872,35520,"TRUE"
"2_C7","AML2","LEUK37_Plate2_C7_C07_031.fcs",17903,17882,17879,12091,4313,35.7,6613,54.7,164800,33344,682,5.64,2948,16.5,16.5,2490,6002,174720,40704,630,3.52,3.52,4193,2899,174976,58176,2,173440,32512,149888,36224,1379,24276,168576,33024,"TRUE"
"2_C8","AML2","LEUK37_Plate2_C8_C08_032.fcs",4772,4765,4762,1356,954,70.4,78,5.75,188096,40192,295,21.8,130,2.73,2.73,1285,7049,191360,49408,38,0.8,0.8,1495,5521,182272,67072,0,168704,32640,161600,36544,594,17165,169600,33472,"TRUE"
"2_C9","AML2","LEUK37_Plate2_C9_C09_033.fcs",26757,26732,26724,12515,6856,54.8,642,5.13,195264,39552,4196,33.5,9226,34.5,34.5,4791,2810,188160,67392,8820,33,33,4841,2777,187072,67712,2,188288,36288,172544,37120,658,11693,188736,36672,"TRUE"
"2_C10","AML2","LEUK37_Plate2_C10_C10_034.fcs",665,662,661,149,117,78.5,21,14.1,164864,51264,3,2.01,91,13.7,13.8,1664,10087,177088,52736,24,3.63,3.63,1991,10271,177088,64064,0,162368,38336,138752,37632,798,15527,162752,39296,"TRUE"
"2_C11","AML2","LEUK37_Plate2_C11_C11_035.fcs",29,26,14,10,1,10,1,10,255552,56064,2,20,3,11.5,21.4,3504,3504,202432,79360,2,7.69,14.3,2064,3504,202432,61056,0,227520,59968,186240,46528,1487,6002,183488,59968,"FALSE"
"2_C12","AML2","LEUK37_Plate2_C12_C12_036.fcs",25356,25328,25315,16941,10954,64.7,394,2.33,195392,47232,2975,17.6,6549,25.9,25.9,3746,3366,202432,78976,6421,25.4,25.4,3761,3372,202496,79040,1,180800,36096,166464,39808,538,13638,181184,36480,"TRUE"
"2_D1","AML2","LEUK37_Plate2_D1_D01_037.fcs",283,283,280,187,14,7.49,1,0.53,132928,31040,162,86.6,14,4.95,5,1835,2665,192832,77312,12,4.24,4.29,1445,2928,200704,77312,0,207360,53248,190144,47104,733,6631,207360,58752,"TRUE"
"2_D2","AML2","LEUK37_Plate2_D2_D02_038.fcs",401,401,400,232,13,5.6,0,0,NA,NA,202,87.1,19,4.74,4.75,1715,4500,225664,81536,17,4.24,4.25,1646,4500,229504,70336,0,225600,51840,197824,43840,770,2750,225600,52416,"TRUE"
"2_D3","AML2","LEUK37_Plate2_D3_D03_039.fcs",6922,6901,6894,3997,2601,65.1,742,18.6,164864,44864,499,12.5,1546,22.4,22.4,1994,5652,193152,67072,943,13.7,13.7,2270,5202,208128,80128,1,154624,34560,149888,42624,796,33436,156352,36608,"TRUE"
"2_D4","AML2","LEUK37_Plate2_D4_D04_040.fcs",9267,9229,9152,3645,12,0.33,0,0,NA,NA,2234,61.3,4368,47.3,47.7,2476,4801,190464,63488,4344,47.1,47.5,2466,4811,190336,63424,0,200768,65280,189056,50624,992,2718,200768,70208,"TRUE"
"2_D5","AML2","LEUK37_Plate2_D5_D05_041.fcs",8556,8511,8444,3796,2023,53.3,285,7.51,183552,46912,931,24.5,3693,43.4,43.7,5381,8226,203392,91264,3439,40.4,40.7,5604,8448,204352,93184,2,182784,47744,145920,51712,665,18329,182144,48064,"TRUE"
"2_D6","AML2","LEUK37_Plate2_D6_D06_042.fcs",18305,14671,14272,14213,27,0.19,11,0.077,193984,141888,40,0.28,14,0.095,0.098,3686,1330,181824,175872,1,0.00682,0.00701,1270,8063,133056,55808,85,143552,87424,114944,29760,2064,5246,189888,113600,"TRUE"
"2_D7","AML2","LEUK37_Plate2_D7_D07_043.fcs",24706,16375,16362,14986,409,2.73,720,4.8,153856,42560,39,0.26,947,5.78,5.79,2650,6093,181888,62400,338,2.06,2.07,4614,5235,216704,94528,144,146176,36288,102720,25536,1320,35764,151040,40192,"TRUE"
"2_D8","AML2","LEUK37_Plate2_D8_D08_044.fcs",19726,19707,19684,13996,2663,19,2352,16.8,172544,37696,967,6.91,4144,21,21.1,3208,4585,181056,62208,3207,16.3,16.3,3649,4380,181056,67968,0,172352,34816,152320,41792,1190,14283,176000,37824,"TRUE"
"2_D9","AML2","LEUK37_Plate2_D9_D09_045.fcs",155,152,152,126,4,3.17,1,0.79,173184,40896,39,31,3,1.97,1.97,2185,6957,171648,39040,1,0.66,0.66,7463,6957,179328,80448,0,150144,37312,212480,54272,1020,4133,173184,40896,"TRUE"
"2_D10","AML2","LEUK37_Plate2_D10_D10_046.fcs",14925,14742,14731,7094,23,0.32,5,0.07,185856,186560,3181,44.8,5130,34.8,34.8,3619,4316,204800,71360,5104,34.6,34.6,3612,4325,204672,71168,9,155776,105088,156608,38784,1884,5652,180160,160704,"TRUE"
"2_D11","AML2","LEUK37_Plate2_D11_D11_047.fcs",958,957,957,596,1,0.17,0,0,NA,NA,541,90.8,9,0.94,0.94,1110,6335,240064,89216,8,0.84,0.84,1093,6335,240064,89088,0,255680,59520,194880,47168,862,2599,255680,59520,"TRUE"
"2_D12","AML2","LEUK37_Plate2_D12_D12_048.fcs",17753,17716,17712,14143,7611,53.8,6038,42.7,161728,40128,156,1.1,1872,10.6,10.6,2539,5007,183936,57728,604,3.41,3.41,7869,6762,217920,119744,6,155648,37632,133888,36992,1024,42036,157888,38784,"TRUE"
"2_E1","AML2","LEUK37_Plate2_E1_E01_049.fcs",48,47,46,43,5,11.6,3,6.98,154304,46400,7,16.3,2,4.26,4.35,1680,3299,150464,27776,0,0,0,NA,NA,NA,NA,0,163776,34240,218176,62848,962,35592,163776,40448,"TRUE"
"2_E2","AML2","LEUK37_Plate2_E2_E02_050.fcs",34209,23387,23359,23304,37,0.16,7,0.03,160000,177536,24,0.1,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,138,178944,142144,94848,20800,964,5324,168960,151360,"TRUE"
"2_E3","AML2","LEUK37_Plate2_E3_E03_051.fcs",58883,58822,58797,29830,21,0.07,0,0,NA,NA,18473,61.9,21144,35.9,36,1968,3234,166080,55936,21088,35.9,35.9,1964,3234,166016,55872,0,183680,47168,182208,42688,1114,4652,177792,62208,"TRUE"
"2_E4","AML2","LEUK37_Plate2_E4_E04_052.fcs",20123,20117,20116,9327,3208,34.4,967,10.4,178688,37504,4020,43.1,8718,43.3,43.3,2917,2750,186880,70336,8394,41.7,41.7,2946,2723,186688,70848,0,177792,36416,168192,44288,782,11693,177792,37056,"TRUE"
"2_E5","AML2","LEUK37_Plate2_E5_E05_053.fcs",37823,37802,37793,33053,17674,53.5,13458,40.7,165952,37120,599,1.81,3571,9.45,9.45,4219,3839,201536,85760,2950,7.8,7.81,4518,4133,204736,89728,1,163072,32320,157504,36800,1012,28005,164480,34432,"TRUE"
"2_E6","AML2","LEUK37_Plate2_E6_E06_054.fcs",12970,12935,12924,5101,1977,38.8,437,8.57,162112,35136,2420,47.4,3405,26.3,26.3,3372,3701,188672,63936,2796,21.6,21.6,3847,3286,193408,70016,0,161600,30208,161088,34560,710,16497,161664,30976,"TRUE"
"2_E7","AML2","LEUK37_Plate2_E7_E07_055.fcs",5250,2992,2730,2421,13,0.54,5,0.21,144832,111488,21,0.87,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,200,163776,130752,142144,40768,1097,6226,152256,130624,"TRUE"
"2_E8","AML2","LEUK37_Plate2_E8_E08_056.fcs",27813,27570,27540,19522,5887,30.2,602,3.08,198016,45440,6749,34.6,6550,23.8,23.8,4398,3999,190528,82432,6075,22,22.1,4361,4125,188608,80384,14,188736,42240,114240,36736,588,18720,189184,42816,"TRUE"
"2_E9","AML2","LEUK37_Plate2_E9_E09_057.fcs",17994,17985,17976,8732,1744,20,90,1.03,187136,38464,6600,75.6,3521,19.6,19.6,2728,3532,194688,72448,3344,18.6,18.6,2712,3568,193920,72000,0,183552,37696,177152,38592,614,5900,183680,37952,"TRUE"
"2_E10","AML2","LEUK37_Plate2_E10_E10_058.fcs",15773,15618,15606,7122,82,1.15,3,0.042,211072,128448,3410,47.9,5743,36.8,36.8,3400,4672,166656,64960,5650,36.2,36.2,3372,4711,165824,64384,2,161024,61824,138944,41472,1741,5103,155584,119936,"TRUE"
"2_E11","AML2","LEUK37_Plate2_E11_E11_059.fcs",6906,6877,6874,1355,57,4.21,2,0.15,165504,25792,529,39,4905,71.3,71.4,7269,8736,221376,115328,4809,69.9,70,7333,8873,221184,115008,0,151040,31168,67456,30080,1026,4263,155776,49664,"TRUE"
"2_E12","AML2","LEUK37_Plate2_E12_E12_060.fcs",30160,30095,30091,26400,19241,72.9,4002,15.2,182656,46784,800,3.03,2311,7.68,7.68,5976,2940,208640,100416,1917,6.37,6.37,5989,3070,208064,97216,1,169984,35712,155072,36096,710,25519,172224,37504,"TRUE"
"2_F1","AML2","LEUK37_Plate2_F1_F01_061.fcs",3025,3025,3023,1334,535,40.1,676,50.7,166400,45504,29,2.17,874,28.9,28.9,2107,8262,173952,52736,162,5.36,5.36,2359,7003,178432,64832,0,155136,36416,145088,43904,1211,20520,160192,41728,"TRUE"
"2_F2","AML2","LEUK37_Plate2_F2_F02_062.fcs",11990,11987,11979,5641,22,0.39,1,0.018,191232,49984,4525,80.2,3072,25.6,25.6,1535,4682,175424,53568,3070,25.6,25.6,1535,4692,175424,53568,0,201024,63168,185664,47936,851,2837,197632,63680,"TRUE"
"2_F3","AML2","LEUK37_Plate2_F3_F03_063.fcs",17875,17856,17850,12334,8328,67.5,699,5.67,184896,40256,2974,24.1,1116,6.25,6.25,3016,4721,199680,67968,906,5.07,5.08,3597,4425,201024,74496,1,182400,36416,181184,36480,625,11773,182720,36736,"TRUE"
"2_F4","AML2","LEUK37_Plate2_F4_F04_064.fcs",4439,4439,4419,2629,2027,77.1,329,12.5,181248,43904,39,1.48,237,5.34,5.36,1350,8063,182848,46912,57,1.28,1.29,1287,9599,186816,47488,0,168640,34752,160256,32192,742,9729,170560,35840,"TRUE"
"2_F5","AML2","LEUK37_Plate2_F5_F05_065.fcs",61653,61624,61620,55136,39607,71.8,10444,18.9,173952,38464,2451,4.45,4281,6.95,6.95,4934,2189,190592,73600,3515,5.7,5.7,5147,2189,188800,74816,1,169088,33792,157568,34432,728,20184,169920,34752,"TRUE"
"2_F6","AML2","LEUK37_Plate2_F6_F06_066.fcs",11244,11241,11238,5298,4044,76.3,1098,20.7,170688,39936,39,0.74,1220,10.9,10.9,1384,7397,179648,44864,121,1.08,1.08,1453,11248,166976,46720,0,163456,35456,157248,30336,786,14891,164672,36416,"TRUE"
"2_F7","AML2","LEUK37_Plate2_F7_F07_067.fcs",8987,4449,4416,4351,41,0.94,8,0.18,161088,143744,12,0.28,2,0.045,0.045,1392,6896,159424,60608,0,0,0,NA,NA,NA,NA,94,165312,155712,73792,25216,970,5725,171264,159360,"TRUE"
"2_F8","AML2","LEUK37_Plate2_F8_F08_068.fcs",6666,6660,6659,4285,3521,82.2,658,15.4,194112,43840,37,0.86,229,3.44,3.44,1405,6660,194304,48832,21,0.32,0.32,1426,10626,195008,45824,0,179136,35072,163648,31808,740,15819,180800,36288,"TRUE"
"2_F9","AML2","LEUK37_Plate2_F9_F09_069.fcs",7882,7791,7785,4647,1467,31.6,248,5.34,172736,44928,1548,33.3,2217,28.5,28.5,3823,3034,205248,93952,2118,27.2,27.2,3839,3046,205184,93952,7,144128,34624,138176,33664,745,9534,149824,36672,"TRUE"
"2_F10","AML2","LEUK37_Plate2_F10_F10_070.fcs",35718,35701,35693,29289,13429,45.8,13873,47.4,162560,34816,973,3.32,3578,10,10,3975,2624,185536,59136,1843,5.16,5.16,5664,2253,190528,79360,5,163712,32320,148864,38528,1125,27345,163136,33600,"TRUE"
"2_F11","AML2","LEUK37_Plate2_F11_F11_071.fcs",941,762,710,657,11,1.67,16,2.44,144704,39360,16,2.44,4,0.52,0.56,5556,3934,144256,49984,4,0.52,0.56,5556,3934,144256,49984,5,164160,28288,110336,28544,2428,10318,156224,122944,"TRUE"
"2_F12","AML2","LEUK37_Plate2_F12_F12_072.fcs",2197,1622,1615,1612,6,0.37,4,0.25,145600,25728,3,0.19,1,0.062,0.062,6866,1884,199744,136256,0,0,0,NA,NA,NA,NA,4,159552,143040,83392,22464,994,5713,159552,154304,"TRUE"
"2_G1","AML2","LEUK37_Plate2_G1_G01_073.fcs",46755,46666,46663,40191,33694,83.8,3726,9.27,175808,43392,1772,4.41,3668,7.86,7.86,5887,3095,196288,85248,3063,6.56,6.56,6213,3028,196416,88128,0,170880,39104,158016,38976,649,18545,171264,39424,"TRUE"
"2_G2","AML2","LEUK37_Plate2_G2_G02_074.fcs",36178,35984,35974,21324,12414,58.2,483,2.27,181184,43264,5153,24.2,11590,32.2,32.2,4334,4159,194048,80576,11237,31.2,31.2,4352,4299,193536,80128,1,182272,34944,158848,31872,522,10675,182080,35264,"TRUE"
"2_G3","AML2","LEUK37_Plate2_G3_G03_075.fcs",29634,29498,29495,10281,416,4.05,3,0.029,229376,114496,4776,46.5,15433,52.3,52.3,3259,4008,177408,63616,15322,51.9,51.9,3246,4024,177216,63296,1,185152,37504,161920,34816,555,5060,184896,39936,"TRUE"
"2_G4","AML2","LEUK37_Plate2_G4_G04_076.fcs",3820,3812,3809,767,364,47.5,256,33.4,152192,29504,73,9.52,1670,43.8,43.8,4142,5628,184832,58176,893,23.4,23.4,7446,4185,207744,96320,0,154752,28736,148992,46720,984,25886,153856,29184,"TRUE"
"2_G5","AML2","LEUK37_Plate2_G5_G05_077.fcs",213,163,154,134,0,0,2,1.49,128832,29184,1,0.75,5,3.07,3.25,2107,12786,164992,51904,2,1.23,1.3,1335,3739,141376,35712,0,NA,NA,195968,48576,1781,12669,139776,46912,"TRUE"
"2_G6","AML2","LEUK37_Plate2_G6_G06_078.fcs",39203,39194,39191,34906,11642,33.4,21668,62.1,161920,38400,356,1.02,1964,5.01,5.01,2447,3208,180928,50176,330,0.84,0.84,5568,3469,190656,78144,4,159168,37312,144448,36288,1381,26259,160512,38016,"TRUE"
"2_G7","AML2","LEUK37_Plate2_G7_G07_079.fcs",46173,46086,46083,38457,25089,65.2,2606,6.78,181184,43200,5610,14.6,5605,12.2,12.2,3959,2244,175232,68480,5372,11.7,11.7,3959,2275,174720,67776,0,182272,35648,165120,32960,583,11299,182144,36352,"TRUE"
"2_G8","AML2","LEUK37_Plate2_G8_G08_080.fcs",26060,25995,25995,22832,14632,64.1,6328,27.7,161792,37504,497,2.18,1938,7.46,7.46,4500,3393,184192,61760,1148,4.42,4.42,7697,3490,194880,86784,9,155008,33152,133696,31936,823,25641,156928,34496,"TRUE"
"2_G9","AML2","LEUK37_Plate2_G9_G09_081.fcs",19144,19006,19003,9770,3331,34.1,166,1.7,192448,45696,2522,25.8,7986,42,42,4281,4528,198784,85632,7864,41.4,41.4,4308,4575,198656,85440,1,189632,38400,108608,26880,529,13924,189696,38784,"TRUE"
"2_G10","AML2","LEUK37_Plate2_G10_G10_082.fcs",1062,1062,1062,199,6,3.02,1,0.5,176128,55488,118,59.3,9,0.85,0.85,4041,5799,196992,73792,9,0.85,0.85,4041,5799,196992,73792,0,174528,37504,195072,50048,525,6718,176064,41600,"TRUE"
"2_G11","AML2","LEUK37_Plate2_G11_G11_083.fcs",4246,4246,4244,2575,3,0.12,1,0.039,140160,58944,2186,84.9,179,4.22,4.22,1615,3701,186624,54208,176,4.15,4.15,1603,3701,186624,54080,0,177792,72000,187648,41472,738,2707,153280,58944,"TRUE"
"2_G12","AML2","LEUK37_Plate2_G12_G12_084.fcs",19115,19096,19090,10232,5524,54,3663,35.8,172224,35456,672,6.57,4056,21.2,21.2,3089,4652,182656,50048,1980,10.4,10.4,6080,2899,185600,68608,1,173184,33600,157568,37504,948,19301,172800,34368,"TRUE"
"2_H1","AML2","LEUK37_Plate2_H1_H01_085.fcs",74,74,68,61,5,8.2,1,1.64,200000,35840,1,1.64,3,4.05,4.41,1860,12611,202688,60672,2,2.7,2.94,1059,6531,165504,25088,0,153280,27584,138112,20224,1320,4852,160768,52480,"TRUE"
"2_H2","AML2","LEUK37_Plate2_H2_H02_086.fcs",1398,1398,1398,67,55,82.1,5,7.46,160640,37888,2,2.99,91,6.51,6.51,1693,11773,167488,42688,9,0.64,0.64,1693,14857,167488,43584,0,163584,29696,44480,12544,652,12815,162496,30656,"TRUE"
