Plate_well,Sort_id,Exp,platename,Sample_id,sample_name,Depth,VAF.varscan,VAF.mutect,VAF.platypus,mean_VAF,DNMT3A,exp,fcs.name,SingleCells.count,NonEry.count,CD56neg.count,CD14neg.count,IntermediateNeut.count,IntermediateNeut.freq.of.CD14neg,MatureNeut.count,MatureNeut.freq.of.CD14neg,MatureNeut.FSC.A,MatureNeut.SSC.A,EarlyNeut.count,EarlyNeut.freq.of.CD14neg,Mono.count,Mono.freq.of.NonEry,Mono.freq.of.CD56neg,Mono.CD11b.Median,Mono.CD14.Median,Mono.FSC.A,Mono.SSC.A,Mono2.count,Mono2.freq.of.NonEry,Mono2.freq.of.CD56neg,Mono2.CD11b.Median,Mono2.CD14.Median,Mono2.FSC.A,Mono2.SSC.A,Ery.count,IntermediateNeut.FSC.A,IntermediateNeut.SSC.A,EarlyNeut.FSC.A,EarlyNeut.SSC.A,CD66bNeut.CD11b.Median,CD66bNeut.CD66b.Median,CD66bNeut.FSC.A,CD66bNeut.SSC.A,TrueFalse,FSC-A,FSC-W,SSC-A,CD33,CD45RA,CD34,CD90,CD49f,CD38,CD19,Live/Dead,CD7/10,CD45,Time,Cell_seeded
2_E10,2_E10,LEUK34,Plate 2 LEUK34,838,838,4694,NA,NA,NA,0,WT,AML3,AML_151044_Plate2_E10_E10_053.fcs,15776,15686,15325,10364,3708,35.8,142,1.37,230016,70784,5361,51.7,3489,22.2,22.8,4841,2341,205760,93440,3436,21.9,22.4,4821,2346,204928,93120,0,191616,45888,178048,43136,753,6333,193664,47104,TRUE,71297,86637,14672,-67,31,982,353,449,125,0,-15,277,1842,12693,HSC
2_E11,2_E11,LEUK34,Plate 2 LEUK34,844,844,1964,NA,NA,NA,0,WT,AML3,AML_151044_Plate2_E11_E11_054.fcs,30037,29425,28840,15848,601,3.79,47,0.3,237440,64576,6534,41.2,8385,28.5,29.1,4024,2052,235648,111232,7988,27.1,27.7,3855,2056,232384,108032,5,195008,42432,171008,44736,992,4451,203072,48896,TRUE,70679,86137,15866,86,8,1256,694,1036,-116,62,33,350,2665,12887,HSC
2_E12,2_E12,LEUK34,Plate 2 LEUK34,851,851,863,NA,NA,NA,0,WT,AML3,AML_151044_Plate2_E12_E12_055.fcs,26791,26573,26041,14753,119,0.81,0,0,NA,NA,7082,48,7336,27.6,28.2,2270,3678,196160,80832,7310,27.5,28.1,2266,3686,196032,80704,0,188736,50688,178048,51712,1285,3302,199232,62912,TRUE,66905,85021,13247,138,-7,1025,8,1913,22,13,4,331,1786,13116,HSC
2_F1,2_F1,LEUK34,Plate 2 LEUK34,774,774,1892,NA,NA,NA,0,WT,AML3,AML_151044_Plate2_F1_F01_056.fcs,16530,16187,15958,7816,520,6.65,141,1.8,229120,60096,3586,45.9,6109,37.7,38.3,5235,4537,240256,110848,5998,37.1,37.6,5093,4575,238336,109632,0,196672,43712,191232,47360,1119,5171,206912,49920,TRUE,73071,90061,21763,137,25,1448,511,726,-20,54,-51,338,2118,15692,HSC
2_F2,2_F2,LEUK34,Plate 2 LEUK34,782,782,2470,NA,NA,NA,0,WT,AML3,AML_151044_Plate2_F2_F02_057.fcs,26594,25992,25838,15143,3486,23,1459,9.63,232704,68480,1135,7.5,6206,23.9,24,5359,4481,210944,119040,5854,22.5,22.7,5169,4604,208192,115392,10,197888,49024,195328,48704,1082,8620,208640,55872,TRUE,77403,88658,14593,241,-4,1646,34,1252,-239,31,-39,244,2612,15493,HSC
2_F4,2_F4,LEUK34,Plate 2 LEUK34,796,796,166,NA,NA,NA,0,WT,AML3,AML_151044_Plate2_F4_F04_058.fcs,29040,28723,28440,11188,204,1.82,7,0.063,218688,73920,9479,84.7,13316,46.4,46.8,3406,2691,187712,75648,13239,46.1,46.6,3393,2691,187456,75456,1,189120,41920,169152,39680,866,3852,193536,46784,TRUE,74447,87176,15366,116,14,842,1344,1110,-82,-1,17,351,1573,15088,HSC
2_F5,2_F5,LEUK34,Plate 2 LEUK34,802,802,1405,NA,NA,NA,0,WT,AML3,AML_151044_Plate2_F5_F05_059.fcs,12673,12446,12182,5200,126,2.42,13,0.25,224448,57216,2773,53.3,5077,40.8,41.7,3379,2123,204416,89728,4870,39.1,40,3292,2132,201152,87936,2,185472,41536,167424,42304,1297,3795,201600,54336,TRUE,61256,81230,9370,186,6,992,10,1083,-1,41,-46,310,1396,14885,HSC
2_F6,2_F6,LEUK34,Plate 2 LEUK34,810,810,1586,NA,NA,NA,0,WT,AML3,AML_151044_Plate2_F6_F06_060.fcs,4267,4220,4043,1174,4,0.34,2,0.17,262080,76032,456,38.8,2419,57.3,59.8,4893,4380,207872,87168,2385,56.5,59,4831,4435,207232,86656,0,137472,37440,149696,49152,1924,3891,59200,43776,TRUE,77314,89661,20927,39,34,1514,-28,1611,-128,14,-48,389,2206,14685,HSC
2_F7,2_F7,LEUK34,Plate 2 LEUK34,818,818,1886,NA,NA,NA,0,WT,AML3,AML_151044_Plate2_F7_F07_061.fcs,15552,15458,15141,11977,7599,63.4,513,4.28,232384,64768,2828,23.6,2089,13.5,13.8,4741,2253,215360,101952,2016,13,13.3,4672,2253,213312,100288,0,187392,42112,173120,41408,770,7792,190080,43456,TRUE,78243,90105,18033,241,-10,1304,-27,800,11,14,-27,329,2103,14490,HSC
2_F8,2_F8,LEUK34,Plate 2 LEUK34,826,826,814,NA,NA,NA,0,WT,AML3,AML_151044_Plate2_F8_F08_062.fcs,7664,7618,7418,3208,35,1.09,9,0.28,210752,54848,431,13.4,3110,40.8,41.9,4692,2558,254208,122496,2921,38.3,39.4,4528,2593,252288,119232,0,174272,37696,166272,54336,2438,5238,206144,87744,TRUE,56177,81901,13589,39,14,1073,173,159,-24,19,32,225,1433,14268,HSC
2_F9,2_F9,LEUK34,Plate 2 LEUK34,832,832,1629,NA,NA,NA,0,WT,AML3,AML_151044_Plate2_F9_F09_063.fcs,12005,9826,9463,7753,3756,48.4,850,11,170240,49024,51,0.66,1388,14.1,14.7,6213,5136,208256,101888,1311,13.3,13.9,6240,5313,208256,101120,29,166400,38080,164288,38848,851,16401,167168,40192,TRUE,72495,86617,13590,103,11,1173,209,2630,-126,17,-63,113,1547,14024,HSC
2_F10,2_F10,LEUK34,Plate 2 LEUK34,839,839,815,NA,NA,NA,0,WT,AML3,AML_151044_Plate2_F10_F10_064.fcs,2189,2158,2082,1659,602,36.3,162,9.76,221568,64448,26,1.57,37,1.71,1.78,4202,3182,253440,131584,19,0.88,0.91,4416,5688,224896,131584,0,179712,40512,160768,46528,1197,8550,202816,55168,TRUE,72858,89028,14079,52,27,1358,42,520,16,11,-37,394,2350,13824,HSC
2_F11,2_F11,LEUK34,Plate 2 LEUK34,845,845,1153,NA,NA,NA,0,WT,AML3,AML_151044_Plate2_F11_F11_065.fcs,26699,24579,24111,19007,179,0.94,6,0.032,179584,59072,12439,65.4,3701,15.1,15.3,2382,4893,168256,69312,3696,15,15.3,2382,4893,168192,69312,5,175680,41856,174976,41984,1154,2936,193472,50560,TRUE,65763,84098,12574,310,12,817,-27,1284,-53,37,-5,189,1439,13583,HSC
2_F12,2_F12,LEUK34,Plate 2 LEUK34,852,852,986,NA,NA,NA,0,WT,AML3,AML_151044_Plate2_F12_F12_066.fcs,4190,2360,2229,2173,2,0.092,1,0.046,182592,41728,14,0.64,11,0.47,0.49,10945,2697,262080,262080,5,0.21,0.22,3511,6531,163392,84224,73,146048,28608,139776,45632,588,5363,179328,41728,TRUE,79247,91655,18144,158,0,1574,558,622,-46,34,-44,462,1604,13311,HSC
2_G1,2_G1,LEUK34,Plate 2 LEUK34,775,775,1459,NA,NA,NA,0,WT,AML3,AML_151044_Plate2_G1_G01_067.fcs,14952,14828,14751,11640,49,0.42,1,0.00859,252096,112192,4305,37,1323,8.92,8.97,1881,4585,180992,64640,1320,8.9,8.95,1881,4594,180992,64576,0,199552,56832,186496,45760,1394,3090,193152,60928,TRUE,64105,84756,13493,112,21,1004,56,1110,-28,13,-62,221,2271,15922,HSC
2_G2,2_G2,LEUK34,Plate 2 LEUK34,783,783,4738,NA,NA,NA,0,WT,AML3,AML_151044_Plate2_G2_G02_068.fcs,8779,7409,7064,5150,26,0.5,1,0.019,211904,82880,1134,22,516,6.96,7.3,1928,4682,168320,59904,514,6.94,7.28,1924,4682,168320,59840,102,178816,46720,175552,44864,1057,2845,191424,55040,TRUE,71499,86534,13806,184,15,1582,-58,2268,-31,35,-53,358,1907,16129,HSC
2_G3,2_G3,LEUK34,Plate 2 LEUK34,790,790,2747,NA,NA,NA,0,WT,AML3,AML_151044_Plate2_G3_G03_069.fcs,21938,18873,18679,8682,242,2.79,18,0.21,186688,49344,6437,74.1,7733,41,41.4,3132,4246,170880,73472,7709,40.8,41.3,3126,4254,170752,73408,283,187200,45888,172800,44928,923,4241,187712,49088,TRUE,72028,87207,13748,122,21,1206,117,1031,-51,62,-99,725,2513,16341,HSC
2_G4,2_G4,LEUK34,Plate 2 LEUK34,797,797,1701,NA,NA,NA,0,WT,AML3,AML_151044_Plate2_G4_G04_070.fcs,8833,8775,8683,5907,3082,52.2,418,7.08,190464,53952,153,2.59,2239,25.5,25.8,9491,10626,252288,168704,2157,24.6,24.8,9795,10970,254528,172928,0,177344,39360,173184,40512,732,17572,179200,40896,TRUE,74214,89182,13374,93,35,978,5,1202,-69,3,-43,412,2047,16560,HSC
2_G5,2_G5,LEUK34,Plate 2 LEUK34,803,803,2172,NA,NA,NA,0,WT,AML3,AML_151044_Plate2_G5_G05_071.fcs,21906,6636,6451,4916,20,0.41,11,0.22,262080,241920,21,0.43,14,0.21,0.22,3332,2359,262080,262080,6,0.09,0.093,4159,2471,226240,146816,450,198400,134976,91840,33024,1123,4698,219072,155904,TRUE,71885,87330,14953,67,17,948,83,2211,42,29,-5,297,296,16759,HSC
2_G6,2_G6,LEUK34,Plate 2 LEUK34,811,811,2208,NA,NA,NA,0,WT,AML3,AML_151044_Plate2_G6_G06_072.fcs,18564,18256,17854,12325,45,0.37,2,0.016,123264,32320,4555,37,2746,15,15.4,1788,3325,168768,62144,2740,15,15.3,1784,3325,168832,62080,1,172160,44096,176960,42688,1055,2950,172928,49280,TRUE,63823,84247,14249,225,-3,1039,36,1888,-30,37,-22,355,1561,16985,HSC
2_G7,2_G7,LEUK34,Plate 2 LEUK34,819,819,3884,NA,NA,NA,0,WT,AML3,AML_151044_Plate2_G7_G07_073.fcs,11345,11101,10859,4182,2674,63.9,398,9.52,234944,71168,484,11.6,5225,47.1,48.1,8716,7317,262080,187712,4948,44.6,45.6,8467,7463,262080,184640,1,189120,40448,185344,41408,794,10787,194752,43648,TRUE,74616,86632,14088,-26,2,1531,53,838,-17,34,-28,311,1663,17205,HSC
2_G8,2_G8,LEUK34,Plate 2 LEUK34,827,827,6444,NA,NA,NA,0,WT,AML3,AML_151044_Plate2_G8_G08_074.fcs,858,829,800,759,9,1.19,0,0,NA,NA,124,16.3,13,1.57,1.62,5093,4246,262080,137664,13,1.57,1.62,5093,4246,262080,137664,0,169472,42176,161536,35072,1010,3521,174656,42176,TRUE,58503,83489,11821,102,-12,884,54,1044,-49,29,18,278,1406,17447,HSC
2_G10,2_G10,LEUK34,Plate 2 LEUK34,840,840,31,NA,NA,NA,0,WT,AML3,AML_151044_Plate2_G10_G10_075.fcs,15709,15614,15280,13851,29,0.21,3,0.022,157760,48192,2373,17.1,684,4.38,4.48,1917,3731,177408,62464,679,4.35,4.44,1913,3769,177408,62272,2,159680,39488,174592,40768,2198,4350,86336,52992,TRUE,65080,90921,9767,51,3,943,78,688,78,16,-10,285,1416,17912,HSC
2_G11,2_G11,LEUK34,Plate 2 LEUK34,846,846,2700,NA,NA,NA,0,WT,AML3,AML_151044_Plate2_G11_G11_076.fcs,14579,13578,13154,5991,758,12.7,173,2.89,206144,99776,2079,34.7,5342,39.3,40.6,4246,4934,248512,129088,5221,38.5,39.7,4176,4986,246976,127744,10,185344,47232,159872,46656,998,6487,190976,57600,TRUE,81288,93259,16912,90,42,1358,-3,1533,-16,22,-65,330,1328,18146,HSC
2_H1,2_H1,LEUK34,Plate 2 LEUK34,776,776,948,NA,NA,NA,0,WT,AML3,AML_151044_Plate2_H1_H01_077.fcs,8411,8386,8095,1971,793,40.2,398,20.2,183360,65152,406,20.6,5165,61.6,63.8,5180,8336,212160,102208,4864,58,60.1,5336,8755,213312,103744,0,169408,56576,153344,58944,1069,15984,173696,59712,TRUE,78527,89029,14449,37,15,1353,255,1469,-148,0,-141,351,3044,20943,HSC
2_H2,2_H2,LEUK34,Plate 2 LEUK34,784,784,1969,NA,NA,NA,0,WT,AML3,AML_151044_Plate2_H2_H02_078.fcs,19876,19557,19233,12396,1183,9.54,198,1.6,215040,65280,5220,42.1,5080,26,26.4,3189,6041,182848,80192,5042,25.8,26.2,3182,6067,182400,80000,5,185088,51520,178752,52608,1106,3692,196032,59776,TRUE,70294,86477,12205,132,65,1085,0,1439,-109,22,-39,317,1784,20695,HSC
2_H4,2_H4,LEUK34,Plate 2 LEUK34,798,798,3015,NA,NA,NA,0,WT,AML3,AML_151044_Plate2_H4_H04_079.fcs,25426,25277,24989,16998,12479,73.4,2969,17.5,169472,58240,445,2.62,5964,23.6,23.9,7189,8281,262080,147072,5433,21.5,21.7,7349,8736,262080,148928,0,154368,47040,126912,37056,882,28642,157056,49152,TRUE,80895,90350,16360,60,19,1618,197,1151,-112,14,-15,373,2387,20264,HSC
2_H5,2_H5,LEUK34,Plate 2 LEUK34,804,804,731,NA,NA,NA,0,WT,AML3,AML_151044_Plate2_H5_H05_080.fcs,16563,16504,15947,10402,206,1.98,12,0.12,168064,65344,3139,30.2,3961,24,24.8,2619,4528,199232,83968,3932,23.8,24.7,2604,4547,198976,83840,0,182720,52288,187072,54336,1297,2986,203968,68672,TRUE,67789,86455,12662,136,18,1336,44,1053,-8,1,-3,297,1953,20066,HSC
2_H6,2_H6,LEUK34,Plate 2 LEUK34,812,812,1104,NA,NA,NA,0,WT,AML3,AML_151044_Plate2_H6_H06_081.fcs,11389,11358,11130,7082,2247,31.7,3377,47.7,170624,52032,502,7.09,3201,28.2,28.8,5812,10041,193088,92352,2763,24.3,24.8,6308,11070,193600,96128,0,175168,42624,166144,49664,1448,22147,171712,48448,TRUE,76707,88737,14018,65,44,1732,44,1948,-125,-5,-66,374,1836,19850,HSC
2_H7,2_H7,LEUK34,Plate 2 LEUK34,820,820,2869,NA,NA,NA,0,WT,AML3,AML_151044_Plate2_H7_H07_082.fcs,5942,5906,5673,4094,841,20.5,1185,28.9,172288,56064,92,2.25,1231,20.8,21.7,3863,7680,194688,92736,1129,19.1,19.9,3975,8814,196288,93760,1,165248,43264,146368,48256,1418,16354,167488,50624,TRUE,76475,88028,13531,151,22,1349,-63,1437,-109,46,33,424,2021,19658,HSC
2_H9,2_H9,LEUK34,Plate 2 LEUK34,833,833,1526,NA,NA,NA,0,WT,AML3,AML_151044_Plate2_H9_H09_083.fcs,467,449,404,108,2,1.85,2,1.85,161984,56256,12,11.1,255,56.8,63.1,2899,5147,192960,76608,250,55.7,61.9,2877,5050,192704,75776,0,184640,40448,150144,52224,2310,5012,93632,58048,TRUE,62396,84383,12743,198,7,1374,25,1589,-42,9,-17,295,2030,19180,HSC
2_H11,2_H11,LEUK34,Plate 2 LEUK34,847,847,22,NA,NA,NA,0,WT,AML3,AML_151044_Plate2_H11_H11_084.fcs,88,56,32,24,2,8.33,0,0,NA,NA,0,0,7,12.5,21.9,4435,7957,233984,124352,6,10.7,18.8,3800,6559,223872,93248,0,147072,34048,NA,NA,901,17929,147072,34048,TRUE,61744,84642,14377,-10,24,1968,12,1218,-188,15,-103,405,2565,18756,HSC
2_H12,2_H12,LEUK34,Plate 2 LEUK34,853,853,181,NA,NA,NA,0,WT,AML3,AML_151044_Plate2_H12_H12_085.fcs,102,77,57,20,3,15,0,0,NA,NA,0,0,35,45.5,61.4,4444,7992,236416,137024,32,41.6,56.1,3967,7992,234624,119296,0,147776,54016,NA,NA,814,34684,147776,54016,TRUE,70580,87101,16346,-2,22,1346,59,931,-19,13,29,262,1149,18564,HSC
3_A2,3_A2,LEUK34,Plate 3 LEUK34,1446,1446,341,0.1065,NA,NA,0.1065,MUT,AML3,AML_151044_Plate3_A2_A02_001.fcs,3361,1126,1079,1072,0,0,0,0,NA,NA,3,0.28,1,0.089,0.093,21666,19576,262080,262080,1,0.089,0.093,21666,19576,262080,262080,178,NA,NA,84608,26432,NA,NA,NA,NA,TRUE,73425,86190,17344,124,1,1147,357,364,123,49,26,336,1658,1066,HSC
3_A3,3_A3,LEUK34,Plate 3 LEUK34,1452,1452,787,0.11,NA,NA,0.11,MUT,AML3,AML_151044_Plate3_A3_A03_002.fcs,16768,16618,16099,8889,5480,61.6,626,7.04,209792,56000,1609,18.1,5366,32.3,33.3,6267,2707,235136,123136,5338,32.1,33.2,6267,2718,235072,122880,1,179840,40512,157568,43008,733,15096,181632,41920,TRUE,71339,87076,16081,68,9,937,-51,1623,-25,50,19,263,1468,1276,HSC
3_A5,3_A5,LEUK34,Plate 3 LEUK34,1463,1463,119,NA,NA,NA,0,WT,AML3,AML_151044_Plate3_A5_A05_003.fcs,47151,46156,45211,17377,116,0.67,3,0.017,243840,60480,11225,64.6,17498,37.9,38.7,2310,2524,183552,77248,17486,37.9,38.7,2310,2524,183616,77312,10,180608,45312,166592,45376,1036,3619,184192,53568,TRUE,63535,82451,11560,110,31,1001,195,1421,17,31,-80,287,1460,1762,HSC
3_A6,3_A6,LEUK34,Plate 3 LEUK34,1471,1471,184,0.1868,NA,0.074626866,0.130713433,MUT,AML3,AML_151044_Plate3_A6_A06_004.fcs,2435,2400,2174,1551,2,0.13,1,0.064,97024,64192,11,0.71,558,23.2,25.7,10675,11481,262080,214656,555,23.1,25.5,10723,11560,262080,214592,0,73024,51200,175168,51072,2821,8764,96320,63808,TRUE,52866,81944,13482,24,30,1335,81,682,-89,2,-43,332,2687,1968,HSC
3_A7,3_A7,LEUK34,Plate 3 LEUK34,1478,1478,557,0.1304,NA,0.086486486,0.108443243,MUT,AML3,AML_151044_Plate3_A7_A07_005.fcs,20482,19674,19268,15216,47,0.31,2,0.013,97728,58752,12589,82.7,1710,8.69,8.87,2013,4008,167232,68992,1706,8.67,8.85,2013,4008,167232,68992,1,182592,40192,183616,46080,1161,2845,205504,56576,TRUE,49940,81283,16438,79,27,763,-14,798,-5,27,-13,327,1256,2163,HSC
3_A10,3_A10,LEUK34,Plate 3 LEUK34,1498,1498,341,0.1018,NA,NA,0.1018,MUT,AML3,AML_151044_Plate3_A10_A10_006.fcs,19802,10854,10350,9298,4,0.043,3,0.032,262080,206144,47,0.51,7,0.064,0.068,3195,1612,262080,262080,6,0.055,0.058,3089,1481,262080,262080,152,165056,116224,139008,35840,1287,4567,262080,198720,TRUE,75253,91464,19608,-47,-5,1025,163,1089,76,19,-2,267,2956,2802,HSC
3_A11,3_A11,LEUK34,Plate 3 LEUK34,1504,1504,188,0.1064,NA,NA,0.1064,MUT,AML3,AML_151044_Plate3_A11_A11_007.fcs,19722,11797,11445,10294,2777,27,1305,12.7,181120,54784,188,1.83,432,3.66,3.77,3004,4528,187776,88000,400,3.39,3.49,3052,4893,187776,89344,192,164096,40576,151552,39808,923,14755,168000,44544,TRUE,72880,87527,14521,3,-6,1169,75,668,-37,18,-55,326,1386,3081,HSC
3_B1,3_B1,LEUK34,Plate 3 LEUK34,1440,1440,126,0.127,NA,NA,0.127,MUT,AML3,AML_151044_Plate3_B1_B01_008.fcs,15045,15028,14992,10651,5710,53.6,3540,33.2,175296,43456,788,7.4,2154,14.3,14.4,3769,2911,207424,84864,1989,13.2,13.3,3950,3234,211328,89600,0,170496,37824,154176,43200,968,17074,172032,40128,TRUE,73909,87593,14022,140,12,2172,107,1503,92,7,-119,388,2174,5986,HSC
3_B2,3_B2,LEUK34,Plate 3 LEUK34,1447,1447,240,0.0678,NA,NA,0.0678,MUT,AML3,AML_151044_Plate3_B2_B02_009.fcs,28971,27685,27644,15433,111,0.72,31,0.2,205568,54528,9119,59.1,5936,21.4,21.5,2442,2987,190272,84160,5929,21.4,21.4,2442,2992,190208,84096,1,191488,41088,174592,46272,1418,3748,221120,62720,TRUE,67488,85153,16933,121,-4,1665,575,2337,-18,19,-129,504,2531,5762,HSC
3_B3,3_B3,LEUK34,Plate 3 LEUK34,1453,1453,106,NA,NA,NA,0,WT,AML3,AML_151044_Plate3_B3_B03_010.fcs,1346,1271,1136,528,3,0.57,4,0.76,87488,54016,9,1.7,559,44,49.2,12786,7663,262080,199168,555,43.7,48.9,12815,7680,262080,199168,0,175168,44096,166016,49600,2928,8184,89472,60416,TRUE,72804,86667,15218,135,18,1356,263,275,-22,29,-34,281,1170,5557,HSC
3_B4,3_B4,LEUK34,Plate 3 LEUK34,1458,1458,179,0.0899,NA,NA,0.0899,MUT,AML3,AML_151044_Plate3_B4_B04_011.fcs,522,447,431,191,4,2.09,0,0,NA,NA,135,70.7,5,1.12,1.16,1693,8639,237312,70464,5,1.12,1.16,1693,8639,237312,70464,1,193920,45760,174080,39424,1022,2666,193920,45760,TRUE,71612,87013,13119,54,26,1193,57,1507,-76,21,-5,329,1838,5322,HSC
3_B5,3_B5,LEUK34,Plate 3 LEUK34,1464,1464,206,0.098,NA,NA,0.098,MUT,AML3,AML_151044_Plate3_B5_B05_012.fcs,50721,46091,45073,35188,4158,11.8,429,1.22,232128,67840,14086,40,5034,10.9,11.2,3785,3590,209728,102144,5016,10.9,11.1,3761,3590,209408,101760,26,191488,47680,159872,43136,772,7050,196608,50816,TRUE,72284,84896,14365,220,23,1404,-23,1672,-100,22,-13,332,1698,5096,HSC
3_B6,3_B6,LEUK34,Plate 3 LEUK34,1472,1472,443,0.0905,NA,NA,0.0905,MUT,AML3,AML_151044_Plate3_B6_B06_013.fcs,19940,17283,16594,15687,9663,61.6,3211,20.5,175872,49600,96,0.61,232,1.34,1.4,3590,4841,184896,83264,190,1.1,1.14,4142,5887,183424,85056,41,161024,36416,151168,33920,864,17025,163776,39296,TRUE,81579,90598,17183,150,-2,1021,230,1087,-59,14,51,518,2587,4848,HSC
3_B7,3_B7,LEUK34,Plate 3 LEUK34,1479,1479,228,0.0973,NA,NA,0.0973,MUT,AML3,AML_151044_Plate3_B7_B07_014.fcs,36020,31999,31050,16775,163,0.97,29,0.17,216768,73984,7500,44.7,6079,19,19.6,1939,3138,154624,61056,6044,18.9,19.5,1935,3145,154304,60992,81,168064,47424,146304,48576,1415,4145,176896,65408,TRUE,71272,86152,13387,123,23,1590,-48,1913,-181,17,27,382,2095,4587,HSC
3_B8,3_B8,LEUK34,Plate 3 LEUK34,1486,1486,188,0.1087,NA,NA,0.1087,MUT,AML3,AML_151044_Plate3_B8_B08_015.fcs,4702,4656,4409,1072,6,0.56,4,0.37,176192,62784,276,25.7,3142,67.5,71.3,8581,5521,240768,125376,3131,67.2,71,8562,5544,240384,125120,0,151872,48128,154240,46080,2447,5477,85760,52160,TRUE,78977,90343,14349,232,19,1878,-20,1211,-144,30,-46,343,2384,4388,HSC
3_B9,3_B9,LEUK34,Plate 3 LEUK34,1493,1493,785,0.0974,NA,NA,0.0974,MUT,AML3,AML_151044_Plate3_B9_B09_016.fcs,3485,1851,1719,1687,2,0.12,2,0.12,137216,89472,5,0.3,7,0.38,0.41,8993,2350,223744,122816,4,0.22,0.23,2288,2739,121792,41792,23,106624,33344,138752,44736,1132,5012,137216,89472,TRUE,115924,106885,39102,168,2,1696,66,476,16,125,-1,413,2029,4182,HSC
3_B10,3_B10,LEUK34,Plate 3 LEUK34,1499,1499,88,NA,NA,NA,0,WT,AML3,AML_151044_Plate3_B10_B10_017.fcs,57845,51401,50935,25215,42,0.17,3,0.012,160768,45056,6246,24.8,13419,26.1,26.3,1983,3070,169600,68928,13417,26.1,26.3,1983,3070,169600,68928,48,149632,32832,172416,41856,1315,3068,163712,46592,TRUE,58803,81850,10500,60,18,968,56,628,15,49,-23,271,1290,3971,HSC
3_B11,3_B11,LEUK34,Plate 3 LEUK34,1505,1505,200,0.1327,NA,NA,0.1327,MUT,AML3,AML_151044_Plate3_B11_B11_018.fcs,30025,26604,26205,13406,378,2.82,59,0.44,233664,60992,5648,42.1,6541,24.6,25,3612,4237,237568,119424,6535,24.6,24.9,3604,4237,237568,119360,86,190144,44608,158464,44096,1020,4395,204032,54336,TRUE,75116,89776,14978,150,15,1336,-61,2478,-153,25,2,409,1235,3731,HSC
3_C1,3_C1,LEUK34,Plate 3 LEUK34,1441,1441,262,0.1231,NA,0.154639175,0.138869588,MUT,AML3,AML_151044_Plate3_C1_C01_019.fcs,50989,48852,48594,21715,2303,10.6,160,0.74,225792,73664,11049,50.9,17619,36.1,36.3,2951,2771,185728,84288,17613,36.1,36.2,2951,2771,185728,84288,14,187776,50752,165120,48640,770,4406,191616,53184,TRUE,79418,90273,14653,-19,13,1135,20,1023,-72,31,-52,267,2138,6211,HSC
3_C2,3_C2,LEUK34,Plate 3 LEUK34,1448,1448,239,0.1008,NA,NA,0.1008,MUT,AML3,AML_151044_Plate3_C2_C02_020.fcs,22078,22010,21993,13887,9531,68.6,1851,13.3,193408,50816,1321,9.51,5366,24.4,24.4,5725,3201,230016,119488,5318,24.2,24.2,5774,3234,230656,120128,0,179968,40448,168960,41152,760,14382,181504,41856,TRUE,75523,88065,17821,75,7,1499,116,470,-137,41,-68,362,1975,6456,HSC
3_C3,3_C3,LEUK34,Plate 3 LEUK34,1454,1454,389,0.1237,NA,0.072847682,0.098273841,MUT,AML3,AML_151044_Plate3_C3_C03_021.fcs,20310,20010,19810,7341,55,0.75,5,0.068,148288,38912,6507,88.6,8593,42.9,43.4,2554,3246,163776,66432,8587,42.9,43.3,2558,3246,163776,66432,4,169024,39552,162496,40768,1101,3486,166016,52096,TRUE,67761,85936,12537,145,42,1430,19,1271,-129,27,-38,333,2503,6678,HSC
3_C4,3_C4,LEUK34,Plate 3 LEUK34,1459,1459,819,0.0811,NA,NA,0.0811,MUT,AML3,AML_151044_Plate3_C4_C04_022.fcs,1894,1718,1692,1173,15,1.28,1,0.085,234368,82624,910,77.6,9,0.52,0.53,1976,4781,199232,76864,9,0.52,0.53,1976,4781,199232,76864,1,201344,44160,180864,44288,1065,2880,203776,47680,TRUE,57499,85744,11148,-11,2,758,-62,926,-98,19,-13,416,1174,6876,HSC
3_C7,3_C7,LEUK34,Plate 3 LEUK34,1480,1480,383,0.1,NA,NA,0.1,MUT,AML3,AML_151044_Plate3_C7_C07_024.fcs,5259,4166,3971,3623,7,0.19,7,0.19,192000,65984,19,0.52,87,2.09,2.19,6689,1350,262080,198592,40,0.96,1.01,5497,1899,262080,181696,17,140224,38016,127744,45632,3441,7107,259712,131520,TRUE,82246,90469,16340,-35,21,1679,127,1101,-110,21,-68,493,1951,7543,HSC
3_C8,3_C8,LEUK34,Plate 3 LEUK34,1487,1487,90,NA,NA,NA,0,WT,AML3,AML_151044_Plate3_C8_C08_025.fcs,4419,4286,4037,1283,0,0,0,0,NA,NA,5,0.39,2445,57,60.6,7939,4219,257536,128128,2415,56.3,59.8,7886,4281,256640,127680,1,NA,NA,161088,39872,3583,7203,91328,61568,TRUE,58789,82600,15654,8,16,1772,190,2065,-186,-2,-74,396,2621,7738,HSC
3_C10,3_C10,LEUK34,Plate 3 LEUK34,1500,1500,156,0.0909,NA,NA,0.0909,MUT,AML3,AML_151044_Plate3_C10_C10_026.fcs,28405,27276,26752,20234,29,0.14,0,0,NA,NA,7859,38.8,1864,6.83,6.97,1718,3400,170304,60992,1864,6.83,6.97,1718,3400,170304,60992,0,159424,36800,171392,39552,1195,2986,178048,55744,TRUE,62483,82505,13188,36,23,863,86,467,-54,35,-17,291,1936,8146,HSC
